province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.5,27.2,21.3
11,สมุทรปราการ,32.9,28.2,22.2
13,ปทุมธานี,39.5,26.2,23.0
14,พระนครศรีอยุธยา,39.7,25.6,21.3
16,ลพบุรี,40.4,25.9,20.2
18,ชัยนาท,39.0,25.3,22.5
20,ชลบุรี,36.5,26.5,22.4
21,ระยอง,34.7,26.9,21.6
22,จันทบุรี,34.9,25.3,22.0
23,ตราด,35.5,25.7,22.6
24,ฉะเชิงเทรา,38.2,23.8,21.3
25,ปราจีนบุรี,38.9,25.8,22.1
27,สระแก้ว,39.6,25.5,22.2
30,นครราชสีมา,40.1,24.2,19.0
31,บุรีรัมย์,39.6,24.2,18.5
32,สุรินทร์,39.5,24.8,18.8
33,ศรีสะเกษ,39.8,24.2,19.2
34,อุบลราชธานี,40.4,24.3,18.9
36,ชัยภูมิ,39.9,24.9,20.0
40,ขอนแก่น,38.9,23.9,18.0
41,อุดรธานี,39.3,23.6,18.6
42,เลย,39.6,22.2,15.6
43,หนองคาย,39.4,24.4,19.0
44,มหาสารคาม,39.5,24.4,19.0
45,ร้อยเอ็ด,38.7,24.5,18.2
46,กาฬสินธุ์,38.8,23.9,18.0
47,สกลนคร,38.1,23.6,17.0
48,นครพนม,38.7,24.0,16.7
49,มุกดาหาร,39.7,24.4,18.0
50,เชียงใหม่,40.0,20.4,15.0
51,ลำพูน,40.8,21.2,14.5
52,ลำปาง,42.0,23.1,15.1
53,อุตรดิตถ์,39.4,25.0,19.0
54,แพร่,40.3,23.7,15.1
55,น่าน,40.6,20.5,12.2
56,พะเยา,39.4,21.9,14.3
57,เชียงราย,38.2,19.2,12.9
58,แม่ฮ่องสอน,41.5,19.8,12.5
60,นครสวรรค์,40.1,26.4,22.8
62,กำแพงเพชร,39.0,25.1,18.7
63,ตาก,42.4,22.1,11.9
64,สุโขทัย,39.8,24.7,18.5
65,พิษณุโลก,38.5,25.4,20.6
66,พิจิตร,39.1,25.2,21.6
67,เพชรบูรณ์,41.6,24.7,19.0
70,ราชบุรี,38.0,24.2,21.6
71,กาญจนบุรี,40.5,24.8,18.7
72,สุพรรณบุรี,39.6,25.5,21.5
73,นครปฐม,38.1,25.3,25.5
76,เพชรบุรี,33.6,26.6,22.5
77,ประจวบคีรีขันธ์,37.6,24.7,18.8
80,นครศรีธรรมราช,37.2,23.0,19.8
81,กระบี่,37.6,24.6,19.0
82,พังงา,36.2,24.2,21.6
83,ภูเก็ต,37.4,25.9,22.3
84,สุราษฎร์ธานี,37.4,24.1,19.5
85,ระนอง,36.7,24.3,22.5
86,ชุมพร,35.7,23.7,21.2
90,สงขลา,36.8,24.5,19.3
91,สตูล,36.9,24.7,21.0
92,ตรัง,37.3,24.0,21.4
93,พัทลุง,34.4,24.5,21.8
94,ปัตตานี,35.2,23.7,21.5
95,ยะลา,37.1,23.2,21.0
96,นราธิวาส,33.2,24.6,22.1
