province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.3,21.8,16.1
11,สมุทรปราการ,30.7,24.1,18.5
13,ปทุมธานี,36.0,20.4,15.5
14,พระนครศรีอยุธยา,36.7,19.5,12.8
16,ลพบุรี,35.9,19.0,10.9
18,ชัยนาท,35.2,18.4,12.7
20,ชลบุรี,36.6,22.2,14.0
21,ระยอง,34.1,21.4,16.4
22,จันทบุรี,34.7,20.9,13.8
23,ตราด,34.0,22.7,17.4
24,ฉะเชิงเทรา,35.7,18.3,12.7
25,ปราจีนบุรี,35.5,19.9,14.4
27,สระแก้ว,35.4,19.2,12.9
30,นครราชสีมา,34.8,16.9,10.5
31,บุรีรัมย์,35.1,16.2,9.4
32,สุรินทร์,34.9,17.0,10.5
33,ศรีสะเกษ,34.6,16.8,11.2
34,อุบลราชธานี,35.7,16.6,9.5
36,ชัยภูมิ,35.0,17.3,12.5
40,ขอนแก่น,35.0,15.5,9.1
41,อุดรธานี,33.7,14.7,9.8
42,เลย,34.0,14.1,8.5
43,หนองคาย,33.3,16.3,10.6
44,มหาสารคาม,34.6,16.0,11.1
45,ร้อยเอ็ด,33.5,16.2,10.5
46,กาฬสินธุ์,33.5,15.5,10.2
47,สกลนคร,33.1,14.7,9.3
48,นครพนม,33.6,15.9,9.5
49,มุกดาหาร,34.2,15.7,10.6
50,เชียงใหม่,34.0,15.1,3.2
51,ลำพูน,34.4,16.4,11.5
52,ลำปาง,35.9,15.9,10.0
53,อุตรดิตถ์,35.3,18.2,14.5
54,แพร่,34.6,15.7,11.3
55,น่าน,34.7,13.9,8.5
56,พะเยา,33.5,15.8,9.8
57,เชียงราย,31.6,15.3,10.2
58,แม่ฮ่องสอน,35.5,16.0,10.0
60,นครสวรรค์,36.4,19.1,12.3
62,กำแพงเพชร,35.2,18.4,13.3
63,ตาก,36.2,15.8,7.0
64,สุโขทัย,34.6,18.5,14.4
65,พิษณุโลก,34.6,18.3,13.4
66,พิจิตร,35.0,19.0,15.2
67,เพชรบูรณ์,36.4,17.5,11.7
70,ราชบุรี,34.5,19.1,14.1
71,กาญจนบุรี,35.8,18.7,12.8
72,สุพรรณบุรี,35.1,19.4,12.5
73,นครปฐม,33.7,18.6,11.7
76,เพชรบุรี,31.2,21.1,15.0
77,ประจวบคีรีขันธ์,34.0,21.0,13.5
80,นครศรีธรรมราช,34.0,22.9,19.4
81,กระบี่,34.9,23.9,20.6
82,พังงา,33.5,23.6,21.5
83,ภูเก็ต,35.2,24.9,19.4
84,สุราษฎร์ธานี,33.3,23.5,19.0
85,ระนอง,33.6,23.2,18.9
86,ชุมพร,33.1,21.7,18.0
90,สงขลา,33.3,24.2,19.8
91,สตูล,34.6,24.7,21.8
92,ตรัง,33.5,23.9,21.2
93,พัทลุง,32.3,23.9,21.7
94,ปัตตานี,33.6,23.3,21.5
95,ยะลา,33.6,22.9,20.8
96,นราธิวาส,30.9,24.1,
