province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.3,25.8,23.2
11,สมุทรปราการ,32.7,27.7,23.6
13,ปทุมธานี,35.5,26.0,23.8
14,พระนครศรีอยุธยา,35.5,25.8,22.5
16,ลพบุรี,36.6,25.6,23.4
18,ชัยนาท,35.7,25.6,23.4
20,ชลบุรี,34.8,26.1,23.0
21,ระยอง,32.9,25.7,22.5
22,จันทบุรี,34.2,24.8,22.9
23,ตราด,33.6,25.1,23.0
24,ฉะเชิงเทรา,35.4,24.5,21.5
25,ปราจีนบุรี,34.7,25.7,23.5
27,สระแก้ว,35.2,25.4,23.3
30,นครราชสีมา,35.0,24.5,21.5
31,บุรีรัมย์,34.5,25.1,22.1
32,สุรินทร์,34.3,25.3,22.2
33,ศรีสะเกษ,34.0,25.4,22.5
34,อุบลราชธานี,35.5,25.0,22.4
36,ชัยภูมิ,34.3,25.0,22.4
40,ขอนแก่น,35.4,25.1,22.6
41,อุดรธานี,34.8,25.4,23.2
42,เลย,34.3,24.4,21.9
43,หนองคาย,35.5,25.4,23.0
44,มหาสารคาม,35.0,25.8,23.2
45,ร้อยเอ็ด,35.0,25.5,23.0
46,กาฬสินธุ์,34.0,25.4,22.0
47,สกลนคร,34.4,25.3,22.0
48,นครพนม,34.6,25.5,23.4
49,มุกดาหาร,34.7,25.3,23.5
50,เชียงใหม่,36.0,21.3,15.6
51,ลำพูน,35.9,24.5,22.0
52,ลำปาง,36.5,24.2,21.5
53,อุตรดิตถ์,35.6,25.6,23.5
54,แพร่,34.5,24.9,21.8
55,น่าน,36.1,24.5,21.4
56,พะเยา,35.2,24.4,22.0
57,เชียงราย,33.7,24.2,22.3
58,แม่ฮ่องสอน,36.0,24.5,21.0
60,นครสวรรค์,36.1,25.2,23.1
62,กำแพงเพชร,35.4,25.4,23.5
63,ตาก,36.9,23.6,18.7
64,สุโขทัย,35.7,26.0,23.3
65,พิษณุโลก,34.9,25.4,23.0
66,พิจิตร,34.4,26.0,24.0
67,เพชรบูรณ์,36.2,25.1,22.5
70,ราชบุรี,35.6,25.3,23.5
71,กาญจนบุรี,36.3,25.1,22.3
72,สุพรรณบุรี,36.3,26.1,19.9
73,นครปฐม,35.6,25.5,23.8
76,เพชรบุรี,35.0,26.2,21.8
77,ประจวบคีรีขันธ์,36.1,25.4,22.3
80,นครศรีธรรมราช,35.5,24.4,23.0
81,กระบี่,35.6,25.7,23.4
82,พังงา,33.2,25.3,22.7
83,ภูเก็ต,34.3,26.6,23.4
84,สุราษฎร์ธานี,36.5,25.0,22.3
85,ระนอง,32.8,24.7,22.0
86,ชุมพร,34.6,24.8,23.0
90,สงขลา,34.7,25.1,22.1
91,สตูล,33.3,24.7,22.9
92,ตรัง,35.0,24.5,23.2
93,พัทลุง,34.7,25.0,23.6
94,ปัตตานี,34.8,24.9,23.4
95,ยะลา,35.6,24.6,23.3
96,นราธิวาส,35.1,24.8,23.1
