province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.1,26.8,22.3
11,สมุทรปราการ,32.6,27.5,24.4
13,ปทุมธานี,39.0,25.1,21.1
14,พระนครศรีอยุธยา,37.8,25.0,20.1
16,ลพบุรี,41.5,24.8,17.8
18,ชัยนาท,38.5,23.9,19.0
20,ชลบุรี,37.8,26.0,20.0
21,ระยอง,35.7,26.1,21.5
22,จันทบุรี,36.1,24.8,21.3
23,ตราด,34.6,25.0,21.0
24,ฉะเชิงเทรา,39.5,22.7,18.3
25,ปราจีนบุรี,39.3,24.7,19.6
27,สระแก้ว,39.8,24.5,19.2
30,นครราชสีมา,40.0,22.9,16.6
31,บุรีรัมย์,39.8,23.1,17.6
32,สุรินทร์,40.0,23.6,18.0
33,ศรีสะเกษ,40.1,22.9,18.6
34,อุบลราชธานี,40.2,23.0,17.5
36,ชัยภูมิ,40.0,23.8,19.1
40,ขอนแก่น,40.2,22.7,15.1
41,อุดรธานี,41.1,22.2,16.5
42,เลย,41.0,20.0,12.6
43,หนองคาย,41.3,23.2,17.5
44,มหาสารคาม,40.6,23.2,18.2
45,ร้อยเอ็ด,40.4,23.1,18.7
46,กาฬสินธุ์,39.7,22.8,17.3
47,สกลนคร,40.0,22.7,17.0
48,นครพนม,39.8,23.2,16.5
49,มุกดาหาร,41.3,23.1,17.5
50,เชียงใหม่,39.0,19.7,11.5
51,ลำพูน,40.3,20.8,16.4
52,ลำปาง,40.7,20.9,14.2
53,อุตรดิตถ์,40.0,23.0,18.2
54,แพร่,39.4,21.5,16.3
55,น่าน,40.6,19.3,13.3
56,พะเยา,37.8,21.1,15.8
57,เชียงราย,38.7,19.4,16.4
58,แม่ฮ่องสอน,39.6,20.0,15.0
60,นครสวรรค์,40.5,24.9,18.2
62,กำแพงเพชร,39.5,22.4,16.0
63,ตาก,40.7,20.3,9.4
64,สุโขทัย,40.4,23.3,17.2
65,พิษณุโลก,39.0,23.5,15.5
66,พิจิตร,38.4,23.6,18.2
67,เพชรบูรณ์,41.5,23.4,17.0
70,ราชบุรี,37.7,23.5,20.1
71,กาญจนบุรี,40.5,23.2,17.6
72,สุพรรณบุรี,39.6,24.6,19.6
73,นครปฐม,38.2,23.8,17.8
76,เพชรบุรี,33.7,25.6,21.2
77,ประจวบคีรีขันธ์,38.2,23.7,17.7
80,นครศรีธรรมราช,37.5,23.0,19.4
81,กระบี่,39.6,24.7,22.8
82,พังงา,35.6,24.1,20.3
83,ภูเก็ต,38.0,25.7,21.0
84,สุราษฎร์ธานี,37.8,23.9,19.5
85,ระนอง,37.3,24.2,22.0
86,ชุมพร,37.0,23.4,20.5
90,สงขลา,38.0,24.2,20.0
91,สตูล,37.3,25.0,21.7
92,ตรัง,37.5,24.0,20.5
93,พัทลุง,35.0,24.2,22.5
94,ปัตตานี,36.0,23.6,21.3
95,ยะลา,36.9,23.3,20.4
96,นราธิวาส,34.1,24.6,21.3
