province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.3,28.4,24.0
11,สมุทรปราการ,33.8,29.9,22.8
13,ปทุมธานี,39.0,27.9,25.2
14,พระนครศรีอยุธยา,38.4,26.6,24.0
16,ลพบุรี,39.7,27.0,24.0
18,ชัยนาท,39.7,26.6,23.8
20,ชลบุรี,37.1,28.5,21.1
21,ระยอง,35.6,28.2,22.6
22,จันทบุรี,34.8,26.3,22.8
23,ตราด,34.0,25.9,22.8
24,ฉะเชิงเทรา,38.1,25.8,23.7
25,ปราจีนบุรี,38.1,26.7,23.9
27,สระแก้ว,38.0,26.6,24.0
30,นครราชสีมา,38.8,26.5,21.6
31,บุรีรัมย์,38.0,26.4,22.9
32,สุรินทร์,37.5,26.5,23.0
33,ศรีสะเกษ,38.5,27.1,23.8
34,อุบลราชธานี,39.0,26.5,22.9
36,ชัยภูมิ,38.3,26.8,23.7
40,ขอนแก่น,39.1,26.6,23.3
41,อุดรธานี,38.2,26.6,23.2
42,เลย,38.6,25.2,22.4
43,หนองคาย,38.7,26.6,23.0
44,มหาสารคาม,39.8,27.3,23.1
45,ร้อยเอ็ด,39.0,26.8,23.2
46,กาฬสินธุ์,37.8,26.9,23.4
47,สกลนคร,37.9,26.6,23.0
48,นครพนม,37.5,26.5,23.0
49,มุกดาหาร,38.0,26.6,23.0
50,เชียงใหม่,37.5,22.2,16.5
51,ลำพูน,39.6,25.7,22.0
52,ลำปาง,40.3,25.4,22.5
53,อุตรดิตถ์,39.5,26.5,23.4
54,แพร่,38.7,26.1,23.2
55,น่าน,39.3,25.3,21.8
56,พะเยา,37.0,25.7,21.7
57,เชียงราย,37.2,25.4,22.6
58,แม่ฮ่องสอน,38.0,24.9,21.8
60,นครสวรรค์,39.8,26.7,23.8
62,กำแพงเพชร,38.6,26.6,24.1
63,ตาก,38.9,24.5,18.3
64,สุโขทัย,39.1,27.2,24.2
65,พิษณุโลก,38.1,26.8,23.0
66,พิจิตร,38.4,27.0,23.9
67,เพชรบูรณ์,39.5,26.5,23.2
70,ราชบุรี,37.4,26.3,23.7
71,กาญจนบุรี,38.2,26.0,21.5
72,สุพรรณบุรี,38.9,27.2,22.5
73,นครปฐม,38.1,26.6,23.5
76,เพชรบุรี,37.9,27.3,21.9
77,ประจวบคีรีขันธ์,37.6,26.5,22.6
80,นครศรีธรรมราช,36.2,25.0,23.0
81,กระบี่,36.0,25.6,19.3
82,พังงา,33.1,25.9,23.4
83,ภูเก็ต,34.9,27.0,22.1
84,สุราษฎร์ธานี,37.6,25.6,22.8
85,ระนอง,34.3,25.4,23.1
86,ชุมพร,36.3,25.4,23.1
90,สงขลา,36.5,25.4,22.1
91,สตูล,34.7,25.2,22.7
92,ตรัง,35.1,25.0,22.9
93,พัทลุง,35.5,25.0,23.2
94,ปัตตานี,35.5,24.8,22.9
95,ยะลา,36.3,24.8,22.6
96,นราธิวาส,35.6,25.0,23.0
