province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.2,27.6,22.3
11,สมุทรปราการ,33.7,28.8,23.9
13,ปทุมธานี,37.0,27.1,21.4
14,พระนครศรีอยุธยา,36.4,26.2,20.4
16,ลพบุรี,37.5,26.2,21.2
18,ชัยนาท,36.2,26.1,22.0
20,ชลบุรี,36.0,27.6,21.8
21,ระยอง,34.8,27.4,22.1
22,จันทบุรี,35.3,26.0,21.0
23,ตราด,34.5,26.8,23.2
24,ฉะเชิงเทรา,35.5,25.2,21.0
25,ปราจีนบุรี,36.6,26.0,21.5
27,สระแก้ว,37.8,25.9,21.0
30,นครราชสีมา,36.0,25.2,18.0
31,บุรีรัมย์,36.1,25.4,18.0
32,สุรินทร์,35.3,25.3,18.3
33,ศรีสะเกษ,36.0,25.6,19.3
34,อุบลราชธานี,35.5,25.2,18.7
36,ชัยภูมิ,36.8,25.3,18.0
40,ขอนแก่น,36.6,25.2,17.4
41,อุดรธานี,36.0,25.3,20.4
42,เลย,36.3,24.4,21.2
43,หนองคาย,35.5,25.6,21.2
44,มหาสารคาม,36.9,25.7,18.0
45,ร้อยเอ็ด,36.0,25.2,18.1
46,กาฬสินธุ์,35.9,25.2,16.1
47,สกลนคร,34.9,24.6,16.5
48,นครพนม,34.1,24.9,17.0
49,มุกดาหาร,34.7,24.9,18.0
50,เชียงใหม่,37.1,21.6,10.2
51,ลำพูน,37.6,25.4,22.5
52,ลำปาง,38.0,24.8,22.4
53,อุตรดิตถ์,38.0,26.1,24.1
54,แพร่,37.1,25.2,21.2
55,น่าน,36.6,24.4,18.5
56,พะเยา,36.5,25.0,21.2
57,เชียงราย,35.3,24.5,21.7
58,แม่ฮ่องสอน,38.2,25.1,21.3
60,นครสวรรค์,37.2,26.2,21.9
62,กำแพงเพชร,37.0,25.8,23.7
63,ตาก,38.5,24.3,13.6
64,สุโขทัย,37.0,26.5,23.9
65,พิษณุโลก,36.9,26.1,22.5
66,พิจิตร,36.5,26.5,23.1
67,เพชรบูรณ์,37.5,26.1,22.9
70,ราชบุรี,35.9,25.8,23.0
71,กาญจนบุรี,37.6,25.6,20.5
72,สุพรรณบุรี,37.9,26.5,20.2
73,นครปฐม,36.7,25.7,22.5
76,เพชรบุรี,35.3,27.0,22.6
77,ประจวบคีรีขันธ์,36.5,26.0,22.8
80,นครศรีธรรมราช,36.5,25.3,23.7
81,กระบี่,34.7,26.2,24.1
82,พังงา,33.2,26.2,23.0
83,ภูเก็ต,36.0,27.5,20.5
84,สุราษฎร์ธานี,36.4,25.5,22.8
85,ระนอง,33.5,25.6,22.5
86,ชุมพร,35.4,25.2,22.8
90,สงขลา,37.1,25.7,22.5
91,สตูล,35.0,25.6,23.8
92,ตรัง,35.0,25.4,23.5
93,พัทลุง,35.6,25.3,23.6
94,ปัตตานี,34.9,25.4,24.0
95,ยะลา,35.6,25.2,23.0
96,นราธิวาส,36.2,25.4,23.6
