province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.2,28.1,23.9
11,สมุทรปราการ,33.8,29.3,26.1
13,ปทุมธานี,37.5,27.6,24.5
14,พระนครศรีอยุธยา,36.8,26.7,23.0
16,ลพบุรี,38.7,26.8,24.1
18,ชัยนาท,37.5,26.7,24.7
20,ชลบุรี,38.2,28.2,23.3
21,ระยอง,35.3,27.9,23.9
22,จันทบุรี,34.4,26.3,23.5
23,ตราด,34.5,26.6,23.5
24,ฉะเชิงเทรา,38.2,25.9,24.1
25,ปราจีนบุรี,36.7,26.7,24.0
27,สระแก้ว,37.2,26.7,23.6
30,นครราชสีมา,37.4,26.3,22.3
31,บุรีรัมย์,37.4,26.5,23.5
32,สุรินทร์,36.0,26.3,23.0
33,ศรีสะเกษ,35.5,26.6,24.0
34,อุบลราชธานี,36.5,26.2,23.1
36,ชัยภูมิ,37.3,26.3,23.6
40,ขอนแก่น,37.0,26.2,21.8
41,อุดรธานี,37.0,26.4,23.1
42,เลย,37.4,25.4,22.7
43,หนองคาย,37.2,26.6,23.5
44,มหาสารคาม,36.8,26.7,21.9
45,ร้อยเอ็ด,35.8,26.6,23.8
46,กาฬสินธุ์,35.9,26.7,23.3
47,สกลนคร,35.2,26.3,22.3
48,นครพนม,36.1,26.3,23.1
49,มุกดาหาร,36.5,26.3,22.3
50,เชียงใหม่,38.6,22.5,16.4
51,ลำพูน,38.2,26.3,24.3
52,ลำปาง,39.3,25.9,21.9
53,อุตรดิตถ์,39.0,26.7,25.0
54,แพร่,38.1,26.1,23.4
55,น่าน,38.8,25.4,22.0
56,พะเยา,37.4,26.0,22.7
57,เชียงราย,36.7,25.6,23.6
58,แม่ฮ่องสอน,38.0,25.7,22.0
60,นครสวรรค์,38.8,27.2,23.8
62,กำแพงเพชร,37.7,26.8,24.5
63,ตาก,39.3,24.8,19.6
64,สุโขทัย,37.2,26.8,24.4
65,พิษณุโลก,37.5,26.9,23.4
66,พิจิตร,36.8,27.1,23.9
67,เพชรบูรณ์,38.6,26.7,23.9
70,ราชบุรี,36.2,26.3,24.1
71,กาญจนบุรี,37.8,26.2,23.2
72,สุพรรณบุรี,37.8,27.2,24.1
73,นครปฐม,37.0,26.6,24.0
76,เพชรบุรี,37.2,27.7,24.4
77,ประจวบคีรีขันธ์,37.7,26.7,22.6
80,นครศรีธรรมราช,36.5,25.3,23.4
81,กระบี่,35.1,26.4,21.7
82,พังงา,33.2,26.4,23.5
83,ภูเก็ต,35.2,27.7,23.6
84,สุราษฎร์ธานี,37.7,25.4,22.6
85,ระนอง,33.5,25.9,23.0
86,ชุมพร,35.8,26.1,23.5
90,สงขลา,36.1,25.8,22.9
91,สตูล,34.7,25.5,23.4
92,ตรัง,34.5,25.3,23.2
93,พัทลุง,35.4,25.9,24.0
94,ปัตตานี,35.1,25.6,23.7
95,ยะลา,36.0,25.2,23.6
96,นราธิวาส,35.5,25.8,23.2
