province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.7,27.9,24.7
11,สมุทรปราการ,32.9,29.4,23.9
13,ปทุมธานี,37.7,27.6,25.5
14,พระนครศรีอยุธยา,36.7,26.6,23.6
16,ลพบุรี,38.5,26.4,24.1
18,ชัยนาท,38.2,26.4,24.9
20,ชลบุรี,37.9,28.4,22.8
21,ระยอง,36.3,28.1,24.5
22,จันทบุรี,34.7,27.2,23.8
23,ตราด,34.0,26.9,23.1
24,ฉะเชิงเทรา,37.0,26.1,24.1
25,ปราจีนบุรี,35.8,26.3,24.2
27,สระแก้ว,36.2,26.3,24.3
30,นครราชสีมา,39.1,26.3,22.2
31,บุรีรัมย์,37.0,26.2,23.0
32,สุรินทร์,35.7,26.4,22.5
33,ศรีสะเกษ,35.8,26.5,23.0
34,อุบลราชธานี,36.0,25.9,22.7
36,ชัยภูมิ,37.4,25.6,23.3
40,ขอนแก่น,36.8,26.1,23.5
41,อุดรธานี,36.7,26.1,23.5
42,เลย,37.0,25.2,22.5
43,หนองคาย,36.5,26.0,23.5
44,มหาสารคาม,35.8,26.6,23.3
45,ร้อยเอ็ด,36.3,26.5,23.5
46,กาฬสินธุ์,35.5,26.6,23.8
47,สกลนคร,36.0,26.0,23.3
48,นครพนม,35.7,25.8,23.3
49,มุกดาหาร,36.6,26.3,23.2
50,เชียงใหม่,35.6,21.9,17.0
51,ลำพูน,36.0,25.1,23.5
52,ลำปาง,37.8,24.8,21.6
53,อุตรดิตถ์,39.5,26.3,24.5
54,แพร่,36.9,25.8,23.4
55,น่าน,36.7,25.0,22.3
56,พะเยา,35.2,25.0,23.0
57,เชียงราย,34.7,24.9,22.7
58,แม่ฮ่องสอน,36.0,24.9,22.2
60,นครสวรรค์,38.1,26.6,24.2
62,กำแพงเพชร,37.8,26.2,24.7
63,ตาก,37.9,24.3,18.6
64,สุโขทัย,38.0,26.6,24.0
65,พิษณุโลก,37.4,26.2,22.9
66,พิจิตร,37.0,26.5,25.3
67,เพชรบูรณ์,38.0,25.8,23.2
70,ราชบุรี,37.4,26.2,24.5
71,กาญจนบุรี,38.1,25.8,23.2
72,สุพรรณบุรี,38.6,26.9,25.1
73,นครปฐม,37.8,26.3,24.5
76,เพชรบุรี,36.4,27.8,24.9
77,ประจวบคีรีขันธ์,38.0,26.8,23.2
80,นครศรีธรรมราช,37.0,25.0,23.5
81,กระบี่,32.5,27.1,23.7
82,พังงา,32.5,26.3,23.5
83,ภูเก็ต,35.0,27.3,23.7
84,สุราษฎร์ธานี,37.1,25.4,23.0
85,ระนอง,33.6,26.0,23.5
86,ชุมพร,35.3,25.8,23.8
90,สงขลา,35.7,25.5,22.3
91,สตูล,34.0,25.3,23.5
92,ตรัง,34.2,25.2,23.7
93,พัทลุง,36.4,25.7,23.9
94,ปัตตานี,35.0,25.2,23.6
95,ยะลา,35.6,24.9,23.4
96,นราธิวาส,35.2,25.1,22.9
