province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.6,26.3,22.0
11,สมุทรปราการ,33.1,27.3,24.0
13,ปทุมธานี,36.1,25.6,21.5
14,พระนครศรีอยุธยา,35.4,24.6,21.0
16,ลพบุรี,35.6,24.6,19.4
18,ชัยนาท,34.5,24.7,20.6
20,ชลบุรี,35.7,25.5,21.0
21,ระยอง,34.0,24.9,21.8
22,จันทบุรี,35.8,24.5,21.0
23,ตราด,34.0,25.6,23.1
24,ฉะเชิงเทรา,35.5,23.2,18.9
25,ปราจีนบุรี,38.8,25.0,21.0
27,สระแก้ว,35.2,24.3,19.0
30,นครราชสีมา,35.3,22.9,18.1
31,บุรีรัมย์,34.8,22.1,17.4
32,สุรินทร์,34.8,22.8,17.6
33,ศรีสะเกษ,34.6,23.2,19.2
34,อุบลราชธานี,35.5,22.4,18.2
36,ชัยภูมิ,34.9,23.2,19.3
40,ขอนแก่น,35.1,21.7,17.0
41,อุดรธานี,35.5,21.5,16.6
42,เลย,34.5,21.0,15.8
43,หนองคาย,35.5,22.6,17.6
44,มหาสารคาม,35.0,22.4,17.6
45,ร้อยเอ็ด,35.0,22.2,18.0
46,กาฬสินธุ์,34.1,22.1,16.3
47,สกลนคร,34.4,21.1,16.0
48,นครพนม,34.8,22.2,15.8
49,มุกดาหาร,35.0,21.7,17.2
50,เชียงใหม่,34.3,19.8,11.5
51,ลำพูน,34.7,22.2,17.2
52,ลำปาง,35.3,22.0,15.7
53,อุตรดิตถ์,35.6,23.6,21.1
54,แพร่,35.3,22.4,17.7
55,น่าน,34.8,21.3,14.0
56,พะเยา,34.0,22.1,16.6
57,เชียงราย,32.5,21.5,15.6
58,แม่ฮ่องสอน,35.5,22.5,17.5
60,นครสวรรค์,36.2,24.3,20.0
62,กำแพงเพชร,34.9,24.0,20.6
63,ตาก,35.5,21.7,14.6
64,สุโขทัย,35.8,24.8,21.0
65,พิษณุโลก,35.2,23.7,19.3
66,พิจิตร,35.0,24.7,20.9
67,เพชรบูรณ์,37.2,23.4,18.6
70,ราชบุรี,33.9,24.7,21.7
71,กาญจนบุรี,35.8,24.0,18.8
72,สุพรรณบุรี,35.4,25.2,20.2
73,นครปฐม,34.2,25.0,20.8
76,เพชรบุรี,33.6,25.6,22.3
77,ประจวบคีรีขันธ์,34.0,24.9,19.9
80,นครศรีธรรมราช,33.6,24.4,22.5
81,กระบี่,34.3,24.7,23.0
82,พังงา,32.7,24.1,22.6
83,ภูเก็ต,34.6,25.3,21.5
84,สุราษฎร์ธานี,34.8,24.9,22.7
85,ระนอง,33.0,24.3,22.4
86,ชุมพร,33.1,24.2,22.5
90,สงขลา,35.7,24.6,22.2
91,สตูล,34.6,24.7,23.0
92,ตรัง,34.6,24.3,21.8
93,พัทลุง,32.6,24.3,21.5
94,ปัตตานี,34.3,24.5,23.0
95,ยะลา,34.4,24.1,22.4
96,นราธิวาส,32.6,24.3,22.9
