province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.4,29.6,28.0
11,สมุทรปราการ,33.0,29.9,28.7
13,ปทุมธานี,37.1,28.8,27.5
14,พระนครศรีอยุธยา,35.3,27.9,25.5
16,ลพบุรี,36.7,28.1,25.8
18,ชัยนาท,37.7,27.8,27.0
20,ชลบุรี,36.3,29.5,26.5
21,ระยอง,35.5,29.5,27.0
22,จันทบุรี,34.5,26.9,23.5
23,ตราด,,26.4,24.5
24,ฉะเชิงเทรา,36.4,27.1,26.4
25,ปราจีนบุรี,36.4,27.9,25.8
27,สระแก้ว,36.3,27.6,26.4
30,นครราชสีมา,37.4,27.9,26.1
31,บุรีรัมย์,37.2,28.5,25.3
32,สุรินทร์,38.2,28.5,25.7
33,ศรีสะเกษ,37.0,27.9,25.5
34,อุบลราชธานี,36.8,27.3,24.2
36,ชัยภูมิ,36.1,27.7,26.9
40,ขอนแก่น,35.0,27.3,26.0
41,อุดรธานี,34.5,27.0,25.6
42,เลย,34.0,25.8,22.5
43,หนองคาย,34.3,26.7,24.2
44,มหาสารคาม,36.1,28.2,26.0
45,ร้อยเอ็ด,36.3,27.6,25.8
46,กาฬสินธุ์,35.6,28.1,25.2
47,สกลนคร,34.5,26.5,24.5
48,นครพนม,33.8,25.5,23.6
49,มุกดาหาร,36.1,27.2,25.3
50,เชียงใหม่,34.8,22.8,18.0
51,ลำพูน,34.2,26.6,24.7
52,ลำปาง,35.6,25.6,24.2
53,อุตรดิตถ์,35.4,27.0,26.0
54,แพร่,34.2,26.5,24.2
55,น่าน,34.0,25.6,23.6
56,พะเยา,34.2,25.7,24.1
57,เชียงราย,32.2,25.2,23.6
58,แม่ฮ่องสอน,34.5,25.3,23.2
60,นครสวรรค์,37.0,28.1,26.2
62,กำแพงเพชร,36.4,26.9,25.9
63,ตาก,35.2,24.4,19.4
64,สุโขทัย,36.6,27.3,24.2
65,พิษณุโลก,36.2,27.5,26.0
66,พิจิตร,35.3,27.9,26.4
67,เพชรบูรณ์,36.7,27.3,25.0
70,ราชบุรี,34.2,26.8,26.0
71,กาญจนบุรี,33.8,26.7,24.4
72,สุพรรณบุรี,35.2,28.0,25.2
73,นครปฐม,34.4,27.7,26.2
76,เพชรบุรี,36.5,28.4,25.9
77,ประจวบคีรีขันธ์,37.2,27.4,24.7
80,นครศรีธรรมราช,36.2,25.8,24.1
81,กระบี่,33.4,25.5,24.5
82,พังงา,34.0,25.6,23.2
83,ภูเก็ต,35.6,26.6,23.8
84,สุราษฎร์ธานี,36.5,26.3,23.8
85,ระนอง,34.2,26.0,24.0
86,ชุมพร,36.8,26.3,25.2
90,สงขลา,36.4,25.9,24.3
91,สตูล,34.8,25.9,24.5
92,ตรัง,34.7,26.1,24.7
93,พัทลุง,35.7,26.0,25.1
94,ปัตตานี,35.5,25.6,24.6
95,ยะลา,37.0,25.3,23.8
96,นราธิวาส,34.5,25.9,24.2
