province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,34.7,27.0,25.0
11,สมุทรปราการ,33.7,28.0,25.7
13,ปทุมธานี,35.1,27.0,26.5
14,พระนครศรีอยุธยา,34.0,26.5,25.0
16,ลพบุรี,36.0,26.5,25.0
18,ชัยนาท,34.4,26.7,26.0
20,ชลบุรี,34.0,27.7,25.0
21,ระยอง,32.0,27.5,25.5
22,จันทบุรี,31.2,25.9,24.7
23,ตราด,ไม่มีผลการตรวจวัด,25.4,24.2
24,ฉะเชิงเทรา,34.2,25.5,25.0
25,ปราจีนบุรี,33.5,26.5,25.8
26,นครนายก,24.6,20.1,19.5
27,สระแก้ว,34.0,26.4,25.7
30,นครราชสีมา,34.4,26.1,24.3
31,บุรีรัมย์,34.0,25.9,24.6
32,สุรินทร์,34.7,26.3,25.5
33,ศรีสะเกษ,33.7,27.0,26.9
34,อุบลราชธานี,34.5,27.0,25.4
35,ยโสธร,33.0,26.4,25.3
36,ชัยภูมิ,33.9,27.0,26.6
37,อำนาจเจริญ,32.7,26.7,26.1
38,บึงกาฬ,30.9,26.1,25.3
39,หนองบัวลำภู,30.6,26.1,25.8
40,ขอนแก่น,33.4,27.3,25.5
41,อุดรธานี,31.6,26.7,26.1
42,เลย,33.0,26.0,25.0
43,หนองคาย,32.0,27.0,26.0
44,มหาสารคาม,33.8,27.5,26.6
45,ร้อยเอ็ด,34.0,27.1,26.2
46,กาฬสินธุ์,33.0,27.2,25.8
47,สกลนคร,33.0,26.1,25.0
48,นครพนม,33.0,25.6,23.8
49,มุกดาหาร,35.0,26.6,26.3
50,เชียงใหม่,35.0,23.0,18.0
51,ลำพูน,35.0,27.2,26.0
52,ลำปาง,36.5,26.1,25.5
53,อุตรดิตถ์,34.2,26.5,26.4
54,แพร่,35.4,26.8,25.6
55,น่าน,35.4,25.3,23.3
56,พะเยา,34.0,26.0,24.7
57,เชียงราย,33.5,25.0,23.8
58,แม่ฮ่องสอน,33.3,25.5,24.2
60,นครสวรรค์,35.1,26.6,25.5
61,อุทัยธานี,35.0,27.0,26.1
62,กำแพงเพชร,34.1,26.2,25.5
63,ตาก,34.5,24.8,20.8
64,สุโขทัย,35.0,27.0,25.8
65,พิษณุโลก,34.5,25.5,25.0
66,พิจิตร,34.0,25.0,24.3
67,เพชรบูรณ์,35.2,25.1,24.0
70,ราชบุรี,34.5,25.6,25.4
71,กาญจนบุรี,37.0,26.0,23.4
72,สุพรรณบุรี,36.7,26.7,24.2
73,นครปฐม,35.5,26.0,25.5
75,สมุทรสงคราม,33.1,27.0,ไม่มีผลการตรวจวัด
76,เพชรบุรี,34.0,26.5,24.8
77,ประจวบคีรีขันธ์,34.2,26.3,24.4
80,นครศรีธรรมราช,33.4,24.3,23.4
81,กระบี่,30.6,25.0,24.4
82,พังงา,29.5,24.2,23.7
83,ภูเก็ต,30.0,24.9,23.8
84,สุราษฎร์ธานี,32.7,24.4,21.9
85,ระนอง,29.7,24.9,24.4
86,ชุมพร,33.3,25.4,25.0
90,สงขลา,34.7,25.8,24.6
91,สตูล,31.5,26.0,25.3
92,ตรัง,32.4,25.5,25.3
93,พัทลุง,35.0,25.6,25.5
94,ปัตตานี,33.2,24.9,23.9
95,ยะลา,34.5,24.6,24.4
96,นราธิวาส,32.9,24.5,23.1
