province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.4,27.3,22.3
11,สมุทรปราการ,32.7,28.1,23.0
13,ปทุมธานี,38.3,26.2,24.0
14,พระนครศรีอยุธยา,37.8,25.9,21.8
16,ลพบุรี,39.1,25.8,21.0
18,ชัยนาท,38.0,25.4,22.0
20,ชลบุรี,36.3,26.4,22.2
21,ระยอง,34.3,26.7,21.8
22,จันทบุรี,35.3,25.5,22.5
23,ตราด,34.6,25.6,23.5
24,ฉะเชิงเทรา,37.5,24.1,21.0
25,ปราจีนบุรี,37.5,25.7,23.0
27,สระแก้ว,38.0,25.4,23.1
30,นครราชสีมา,38.8,24.4,20.0
31,บุรีรัมย์,38.7,24.6,20.5
32,สุรินทร์,38.4,24.6,19.8
33,ศรีสะเกษ,39.3,24.4,21.1
34,อุบลราชธานี,39.0,24.0,19.8
36,ชัยภูมิ,39.0,24.7,20.2
40,ขอนแก่น,38.5,24.1,18.9
41,อุดรธานี,39.0,23.7,18.5
42,เลย,37.5,22.6,17.3
43,หนองคาย,36.7,24.2,19.7
44,มหาสารคาม,38.5,24.7,19.3
45,ร้อยเอ็ด,38.2,24.3,20.6
46,กาฬสินธุ์,37.6,24.1,18.8
47,สกลนคร,36.8,23.2,18.7
48,นครพนม,37.0,23.6,18.0
49,มุกดาหาร,37.2,23.6,19.4
50,เชียงใหม่,38.2,21.5,10.0
51,ลำพูน,40.0,23.6,21.0
52,ลำปาง,40.1,23.7,20.0
53,อุตรดิตถ์,38.6,25.1,21.0
54,แพร่,38.2,24.1,20.0
55,น่าน,38.7,22.1,17.7
56,พะเยา,38.0,23.7,18.9
57,เชียงราย,36.4,22.0,17.4
58,แม่ฮ่องสอน,40.0,22.6,15.6
60,นครสวรรค์,39.1,25.7,21.1
62,กำแพงเพชร,38.6,24.9,20.1
63,ตาก,39.8,22.4,12.2
64,สุโขทัย,39.6,25.2,21.3
65,พิษณุโลก,37.8,25.3,20.9
66,พิจิตร,38.4,25.1,21.2
67,เพชรบูรณ์,40.5,24.5,20.1
70,ราชบุรี,37.0,24.9,22.8
71,กาญจนบุรี,38.8,25.1,21.3
72,สุพรรณบุรี,38.5,25.8,18.0
73,นครปฐม,37.2,25.6,23.0
76,เพชรบุรี,35.6,26.3,23.7
77,ประจวบคีรีขันธ์,36.3,24.9,21.7
80,นครศรีธรรมราช,36.5,24.0,21.3
81,กระบี่,36.4,24.7,23.0
82,พังงา,33.7,24.7,22.8
83,ภูเก็ต,36.8,26.0,22.5
84,สุราษฎร์ธานี,37.2,24.9,20.9
85,ระนอง,34.7,24.6,22.7
86,ชุมพร,35.8,24.3,22.7
90,สงขลา,36.8,25.0,21.6
91,สตูล,35.5,25.0,22.7
92,ตรัง,35.9,24.5,23.0
93,พัทลุง,35.0,25.1,24.0
94,ปัตตานี,34.8,24.6,23.2
95,ยะลา,35.6,24.2,21.9
96,นราธิวาส,34.2,24.8,22.6
