province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.8,26.5,21.5
11,สมุทรปราการ,33.4,27.1,23.0
13,ปทุมธานี,35.3,26.1,23.0
14,พระนครศรีอยุธยา,35.5,25.7,22.0
16,ลพบุรี,35.6,25.5,22.2
18,ชัยนาท,35.0,25.7,23.5
20,ชลบุรี,34.3,26.2,20.8
21,ระยอง,34.4,25.8,22.2
22,จันทบุรี,34.4,25.0,21.2
23,ตราด,34.2,25.2,22.3
24,ฉะเชิงเทรา,34.8,24.3,21.5
25,ปราจีนบุรี,35.0,25.8,22.4
27,สระแก้ว,36.0,25.0,21.4
30,นครราชสีมา,35.3,24.1,19.9
31,บุรีรัมย์,35.1,24.2,20.1
32,สุรินทร์,35.5,24.8,18.5
33,ศรีสะเกษ,34.2,24.7,20.8
34,อุบลราชธานี,34.7,24.2,20.0
36,ชัยภูมิ,35.9,24.7,20.0
40,ขอนแก่น,35.0,24.1,20.0
41,อุดรธานี,35.5,24.5,20.7
42,เลย,35.8,23.4,20.4
43,หนองคาย,36.0,25.0,21.0
44,มหาสารคาม,35.3,24.7,20.6
45,ร้อยเอ็ด,35.2,24.3,20.2
46,กาฬสินธุ์,34.7,24.6,19.5
47,สกลนคร,34.7,23.9,19.5
48,นครพนม,34.6,24.2,19.1
49,มุกดาหาร,35.5,24.0,19.5
50,เชียงใหม่,35.5,20.8,14.5
51,ลำพูน,35.4,24.0,21.9
52,ลำปาง,35.6,23.8,21.0
53,อุตรดิตถ์,35.8,25.0,22.9
54,แพร่,35.1,24.4,21.5
55,น่าน,36.0,23.3,19.7
56,พะเยา,34.8,23.8,20.3
57,เชียงราย,33.7,23.3,21.2
58,แม่ฮ่องสอน,36.1,24.2,21.1
60,นครสวรรค์,36.0,25.4,22.4
62,กำแพงเพชร,35.8,25.0,22.7
63,ตาก,35.5,22.9,17.1
64,สุโขทัย,36.0,26.0,23.0
65,พิษณุโลก,35.3,25.1,22.6
66,พิจิตร,34.9,26.0,23.1
67,เพชรบูรณ์,36.2,24.8,21.4
70,ราชบุรี,35.1,25.3,22.6
71,กาญจนบุรี,36.9,24.7,20.5
72,สุพรรณบุรี,35.8,25.9,22.1
73,นครปฐม,35.8,25.1,22.3
76,เพชรบุรี,35.3,25.8,22.4
77,ประจวบคีรีขันธ์,34.8,25.1,22.2
80,นครศรีธรรมราช,35.3,24.9,23.1
81,กระบี่,35.2,25.7,19.0
82,พังงา,32.8,25.1,22.8
83,ภูเก็ต,34.9,26.3,21.4
84,สุราษฎร์ธานี,35.8,25.1,23.0
85,ระนอง,33.9,24.8,23.0
86,ชุมพร,34.8,24.6,22.8
90,สงขลา,35.7,25.1,22.0
91,สตูล,34.3,25.1,23.2
92,ตรัง,35.1,25.0,23.2
93,พัทลุง,34.9,25.1,23.1
94,ปัตตานี,35.6,24.7,23.0
95,ยะลา,35.4,24.4,22.6
96,นราธิวาส,36.4,25.0,23.0
