province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.6,26.0,20.6
11,สมุทรปราการ,33.4,27.7,23.1
13,ปทุมธานี,35.8,25.1,20.9
14,พระนครศรีอยุธยา,36.0,24.3,19.0
16,ลพบุรี,35.5,23.7,17.5
18,ชัยนาท,34.1,24.4,20.2
20,ชลบุรี,36.2,25.2,17.6
21,ระยอง,35.0,24.4,18.5
22,จันทบุรี,35.8,24.8,19.0
23,ตราด,34.0,25.0,21.0
24,ฉะเชิงเทรา,36.4,22.7,15.3
25,ปราจีนบุรี,35.8,24.3,17.3
27,สระแก้ว,35.3,24.1,16.7
30,นครราชสีมา,34.7,22.7,15.7
31,บุรีรัมย์,35.0,22.8,15.9
32,สุรินทร์,35.0,23.7,16.4
33,ศรีสะเกษ,34.9,24.0,18.1
34,อุบลราชธานี,36.7,23.2,15.8
36,ชัยภูมิ,35.9,23.3,17.5
40,ขอนแก่น,35.0,22.6,17.5
41,อุดรธานี,35.2,22.2,17.5
42,เลย,34.7,21.2,14.6
43,หนองคาย,35.3,23.4,18.0
44,มหาสารคาม,35.2,23.7,18.4
45,ร้อยเอ็ด,35.3,23.2,18.2
46,กาฬสินธุ์,34.9,22.9,17.3
47,สกลนคร,34.9,22.2,16.9
48,นครพนม,35.1,22.3,16.0
49,มุกดาหาร,35.4,22.5,16.4
50,เชียงใหม่,35.4,19.1,12.0
51,ลำพูน,34.5,21.2,18.0
52,ลำปาง,34.9,20.7,15.3
53,อุตรดิตถ์,36.4,22.9,19.6
54,แพร่,35.2,21.6,15.4
55,น่าน,34.9,20.2,14.5
56,พะเยา,34.1,21.0,16.5
57,เชียงราย,33.3,20.2,15.2
58,แม่ฮ่องสอน,35.5,21.6,17.0
60,นครสวรรค์,35.4,24.0,18.8
62,กำแพงเพชร,35.0,23.0,19.2
63,ตาก,35.0,20.6,13.2
64,สุโขทัย,35.3,23.6,19.6
65,พิษณุโลก,34.8,23.2,19.2
66,พิจิตร,35.4,24.3,21.3
67,เพชรบูรณ์,36.7,22.6,17.8
70,ราชบุรี,34.0,23.8,18.9
71,กาญจนบุรี,35.2,23.1,17.5
72,สุพรรณบุรี,35.2,24.7,19.7
73,นครปฐม,33.6,23.4,18.8
76,เพชรบุรี,34.5,24.9,19.9
77,ประจวบคีรีขันธ์,34.5,24.2,17.0
80,นครศรีธรรมราช,33.5,24.1,22.8
81,กระบี่,34.9,24.7,23.0
82,พังงา,32.5,24.1,22.3
83,ภูเก็ต,34.4,25.3,23.1
84,สุราษฎร์ธานี,33.8,24.4,21.0
85,ระนอง,33.2,24.0,20.4
86,ชุมพร,33.0,23.7,20.0
90,สงขลา,34.4,24.9,22.3
91,สตูล,34.3,24.7,23.2
92,ตรัง,33.9,24.4,23.0
93,พัทลุง,32.8,24.4,23.8
94,ปัตตานี,33.8,24.7,23.6
95,ยะลา,33.9,24.3,23.2
96,นราธิวาส,33.5,24.4,22.9
