province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.3,27.2,22.6
11,สมุทรปราการ,32.7,29.0,24.5
13,ปทุมธานี,37.7,26.7,23.5
14,พระนครศรีอยุธยา,36.6,26.1,22.0
16,ลพบุรี,37.9,25.9,23.0
18,ชัยนาท,37.4,26.0,24.2
20,ชลบุรี,36.5,27.6,23.0
21,ระยอง,37.4,27.4,22.4
22,จันทบุรี,35.5,25.8,21.7
23,ตราด,33.5,25.6,22.5
24,ฉะเชิงเทรา,36.0,25.1,22.4
25,ปราจีนบุรี,36.2,26.0,23.2
27,สระแก้ว,36.2,26.0,23.1
30,นครราชสีมา,36.8,25.3,22.0
31,บุรีรัมย์,35.6,25.5,22.8
32,สุรินทร์,36.2,25.9,21.5
33,ศรีสะเกษ,35.3,25.6,22.8
34,อุบลราชธานี,35.6,25.5,22.6
36,ชัยภูมิ,36.4,25.5,23.7
40,ขอนแก่น,36.4,25.6,22.8
41,อุดรธานี,35.4,26.0,24.0
42,เลย,35.5,24.9,23.3
43,หนองคาย,35.8,25.9,21.6
44,มหาสารคาม,36.7,25.9,23.0
45,ร้อยเอ็ด,35.5,25.8,23.3
46,กาฬสินธุ์,35.3,25.8,23.2
47,สกลนคร,35.5,25.6,22.9
48,นครพนม,34.6,25.6,22.7
49,มุกดาหาร,35.7,25.7,23.0
50,เชียงใหม่,36.3,22.0,16.1
51,ลำพูน,36.0,25.0,23.2
52,ลำปาง,37.6,24.8,22.2
53,อุตรดิตถ์,37.0,25.9,23.5
54,แพร่,36.0,25.4,22.8
55,น่าน,37.0,24.7,22.0
56,พะเยา,35.2,24.9,22.8
57,เชียงราย,34.8,24.9,21.5
58,แม่ฮ่องสอน,36.5,24.7,21.8
60,นครสวรรค์,38.7,26.0,23.7
62,กำแพงเพชร,37.7,26.2,24.5
63,ตาก,38.0,24.1,18.6
64,สุโขทัย,38.8,26.2,23.5
65,พิษณุโลก,36.2,26.0,23.7
66,พิจิตร,36.9,26.2,24.0
67,เพชรบูรณ์,37.5,25.5,22.9
70,ราชบุรี,37.3,25.5,23.8
71,กาญจนบุรี,37.7,25.6,21.9
72,สุพรรณบุรี,38.7,26.5,23.4
73,นครปฐม,37.0,25.9,23.3
76,เพชรบุรี,37.3,26.9,24.3
77,ประจวบคีรีขันธ์,37.4,25.8,21.8
80,นครศรีธรรมราช,36.0,25.0,23.0
81,กระบี่,34.8,25.9,21.5
82,พังงา,33.8,25.5,22.3
83,ภูเก็ต,35.2,26.9,21.6
84,สุราษฎร์ธานี,37.0,25.3,22.4
85,ระนอง,33.7,25.3,23.0
86,ชุมพร,35.8,25.0,23.2
90,สงขลา,35.8,25.3,22.0
91,สตูล,34.7,25.3,22.7
92,ตรัง,35.1,25.0,23.2
93,พัทลุง,35.5,25.1,23.8
94,ปัตตานี,35.3,25.1,22.7
95,ยะลา,35.6,24.8,22.2
96,นราธิวาส,34.6,25.2,
