province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.3,25.3,20.8
11,สมุทรปราการ,31.6,26.9,23.3
13,ปทุมธานี,35.9,23.9,20.6
14,พระนครศรีอยุธยา,36.2,23.7,19.7
16,ลพบุรี,36.6,23.2,17.6
18,ชัยนาท,35.6,22.6,17.5
20,ชลบุรี,36.1,24.9,21.9
21,ระยอง,34.2,24.8,20.6
22,จันทบุรี,35.6,24.2,18.6
23,ตราด,35.0,24.8,23.0
24,ฉะเชิงเทรา,36.1,22.2,18.7
25,ปราจีนบุรี,36.6,23.9,20.7
27,สระแก้ว,36.2,23.3,19.2
30,นครราชสีมา,35.8,21.4,15.7
31,บุรีรัมย์,35.7,20.8,14.2
32,สุรินทร์,35.7,21.0,14.3
33,ศรีสะเกษ,36.2,20.4,14.8
34,อุบลราชธานี,36.7,20.1,14.5
36,ชัยภูมิ,35.7,21.5,16.4
40,ขอนแก่น,35.2,20.3,13.1
41,อุดรธานี,35.5,19.3,13.7
42,เลย,35.3,19.0,12.8
43,หนองคาย,34.6,19.8,13.9
44,มหาสารคาม,36.1,20.7,14.4
45,ร้อยเอ็ด,35.6,19.7,14.2
46,กาฬสินธุ์,34.8,19.8,12.7
47,สกลนคร,34.2,18.3,12.0
48,นครพนม,34.5,19.4,12.8
49,มุกดาหาร,35.4,18.8,12.6
50,เชียงใหม่,35.0,16.5,10.0
51,ลำพูน,35.5,18.0,11.6
52,ลำปาง,37.0,18.7,11.4
53,อุตรดิตถ์,35.5,21.4,17.4
54,แพร่,35.4,19.7,14.2
55,น่าน,36.2,17.7,10.2
56,พะเยา,35.2,17.8,11.7
57,เชียงราย,32.2,16.4,10.0
58,แม่ฮ่องสอน,36.7,15.5,9.6
60,นครสวรรค์,36.6,23.1,17.7
62,กำแพงเพชร,35.6,21.7,16.1
63,ตาก,36.3,18.6,6.9
64,สุโขทัย,34.5,21.7,17.5
65,พิษณุโลก,35.0,22.2,16.4
66,พิจิตร,35.7,22.5,19.3
67,เพชรบูรณ์,37.5,21.6,16.9
70,ราชบุรี,35.0,22.9,20.6
71,กาญจนบุรี,37.4,22.5,16.0
72,สุพรรณบุรี,36.3,23.3,17.6
73,นครปฐม,35.6,22.9,18.2
76,เพชรบุรี,32.5,24.6,21.8
77,ประจวบคีรีขันธ์,35.0,23.7,19.4
80,นครศรีธรรมราช,35.0,23.6,21.0
81,กระบี่,36.1,24.8,23.3
82,พังงา,34.4,24.1,22.2
83,ภูเก็ต,36.5,25.8,21.8
84,สุราษฎร์ธานี,36.2,24.5,20.6
85,ระนอง,34.8,24.3,22.1
86,ชุมพร,34.4,23.8,22.0
90,สงขลา,35.8,24.8,21.1
91,สตูล,35.6,25.4,22.0
92,ตรัง,35.3,24.4,22.4
93,พัทลุง,33.0,24.9,22.1
94,ปัตตานี,34.5,24.0,22.3
95,ยะลา,35.0,23.8,21.7
96,นราธิวาส,32.3,24.6,22.0
