province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.6,26.5,24.2
11,สมุทรปราการ,35.3,27.6,24.2
13,ปทุมธานี,36.7,25.0,25.0
14,พระนครศรีอยุธยา,35.9,26.0,23.7
16,ลพบุรี,34.9,25.3,23.8
18,ชัยนาท,36.0,26.0,25.0
20,ชลบุรี,35.4,27.0,24.4
21,ระยอง,34.3,25.4,24.3
22,จันทบุรี,34.0,25.0,22.4
23,ตราด,ไม่มีผลการตรวจวัด,25.4,24.2
24,ฉะเชิงเทรา,35.2,24.2,23.5
25,ปราจีนบุรี,35.3,25.5,24.4
26,นครนายก,27.4,21.0,19.3
27,สระแก้ว,35.3,25.8,24.2
30,นครราชสีมา,35.3,24.8,22.6
31,บุรีรัมย์,34.9,25.1,23.4
32,สุรินทร์,34.8,25.7,23.7
33,ศรีสะเกษ,34.4,26.0,24.4
34,อุบลราชธานี,34.4,25.5,23.7
35,ยโสธร,31.8,25.6,24.5
36,ชัยภูมิ,34.7,25.4,24.9
37,อำนาจเจริญ,30.7,25.7,24.1
38,บึงกาฬ,32.4,24.9,24.7
39,หนองบัวลำภู,32.6,24.6,24.0
40,ขอนแก่น,34.3,25.2,23.6
41,อุดรธานี,32.5,25.2,24.7
42,เลย,33.6,25.1,24.5
43,หนองคาย,32.2,26.1,25.0
44,มหาสารคาม,36.0,26.0,25.0
45,ร้อยเอ็ด,34.3,25.2,24.0
46,กาฬสินธุ์,33.4,25.4,24.0
47,สกลนคร,32.5,25.7,24.5
48,นครพนม,32.4,25.9,24.7
49,มุกดาหาร,32.4,26.0,24.9
50,เชียงใหม่,32.7,22.9,19.0
51,ลำพูน,34.0,26.5,25.7
52,ลำปาง,35.4,25.7,25.0
53,อุตรดิตถ์,34.0,25.0,24.0
54,แพร่,33.5,25.7,24.5
55,น่าน,32.7,24.5,23.9
56,พะเยา,33.4,25.3,24.5
57,เชียงราย,34.5,24.5,24.1
58,แม่ฮ่องสอน,34.3,25.8,23.5
60,นครสวรรค์,35.0,25.5,23.5
61,อุทัยธานี,35.8,26.0,25.7
62,กำแพงเพชร,34.4,26.2,26.1
63,ตาก,35.2,24.7,19.6
64,สุโขทัย,35.5,26.2,25.4
65,พิษณุโลก,33.6,25.0,24.6
66,พิจิตร,33.0,26.6,26.4
67,เพชรบูรณ์,34.6,25.4,24.7
70,ราชบุรี,35.1,26.8,26.5
71,กาญจนบุรี,37.0,26.8,25.3
72,สุพรรณบุรี,37.0,26.8,26.0
73,นครปฐม,36.6,26.7,26.1
75,สมุทรสงคราม,36.4,29.0,ไม่มีผลการตรวจวัด
76,เพชรบุรี,34.2,28.4,25.5
77,ประจวบคีรีขันธ์,36.1,27.1,24.6
80,นครศรีธรรมราช,35.5,24.9,24.1
81,กระบี่,32.6,26.5,25.1
82,พังงา,32.5,26.0,25.2
83,ภูเก็ต,33.9,27.5,25.0
84,สุราษฎร์ธานี,35.7,25.2,23.5
85,ระนอง,32.5,25.7,25.1
86,ชุมพร,34.2,26.2,25.6
90,สงขลา,34.5,25.6,24.0
91,สตูล,33.2,25.8,25.4
92,ตรัง,32.9,26.1,25.1
93,พัทลุง,34.9,25.7,25.6
94,ปัตตานี,34.3,25.5,24.9
95,ยะลา,35.7,25.0,24.8
96,นราธิวาส,33.8,25.0,24.4
