province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,41.1,30.1,26.0
11,สมุทรปราการ,34.3,29.9,28.2
13,ปทุมธานี,42.8,29.0,27.3
14,พระนครศรีอยุธยา,41.1,28.4,23.7
16,ลพบุรี,43.3,28.3,25.7
18,ชัยนาท,41.0,28.2,26.0
20,ชลบุรี,38.8,29.7,25.0
21,ระยอง,36.8,30.0,27.3
22,จันทบุรี,36.7,28.1,26.0
23,ตราด,,28.0,26.2
24,ฉะเชิงเทรา,41.0,26.3,25.0
25,ปราจีนบุรี,41.8,28.3,25.8
27,สระแก้ว,42.4,28.1,25.1
30,นครราชสีมา,44.0,27.4,21.7
31,บุรีรัมย์,43.2,27.6,24.4
32,สุรินทร์,43.5,28.9,25.0
33,ศรีสะเกษ,43.2,29.3,26.0
34,อุบลราชธานี,43.3,29.1,25.0
36,ชัยภูมิ,43.0,28.4,25.7
40,ขอนแก่น,43.1,28.4,23.1
41,อุดรธานี,44.1,27.9,23.4
42,เลย,43.0,24.7,20.6
43,หนองคาย,42.9,28.5,23.0
44,มหาสารคาม,43.6,29.3,25.0
45,ร้อยเอ็ด,43.3,28.9,26.3
46,กาฬสินธุ์,43.3,28.1,24.8
47,สกลนคร,43.4,29.4,22.5
48,นครพนม,43.0,29.8,25.0
49,มุกดาหาร,43.5,29.6,25.9
50,เชียงใหม่,42.5,24.2,15.8
51,ลำพูน,43.6,26.6,22.8
52,ลำปาง,44.2,26.0,21.2
53,อุตรดิตถ์,43.8,27.9,24.5
54,แพร่,43.1,27.8,24.0
55,น่าน,42.0,24.2,19.4
56,พะเยา,41.5,26.1,22.0
57,เชียงราย,39.6,23.1,20.5
58,แม่ฮ่องสอน,43.4,26.4,21.1
60,นครสวรรค์,43.3,28.8,26.0
62,กำแพงเพชร,43.1,27.2,22.5
63,ตาก,43.5,25.3,15.8
64,สุโขทัย,43.6,27.9,25.0
65,พิษณุโลก,40.9,28.0,24.6
66,พิจิตร,40.6,28.0,25.1
67,เพชรบูรณ์,43.9,27.5,23.4
70,ราชบุรี,41.0,26.8,23.9
71,กาญจนบุรี,43.0,27.3,21.0
72,สุพรรณบุรี,41.5,28.3,22.9
73,นครปฐม,40.8,27.8,24.5
76,เพชรบุรี,37.4,29.3,23.3
77,ประจวบคีรีขันธ์,41.5,27.2,22.4
80,นครศรีธรรมราช,41.1,25.7,22.4
81,กระบี่,37.8,27.9,24.0
82,พังงา,37.5,26.8,23.7
83,ภูเก็ต,39.4,28.1,23.8
84,สุราษฎร์ธานี,40.5,26.8,22.3
85,ระนอง,38.2,26.8,24.5
86,ชุมพร,39.4,26.2,23.4
90,สงขลา,40.2,26.1,21.5
91,สตูล,37.9,26.2,22.0
92,ตรัง,39.0,26.5,23.5
93,พัทลุง,36.9,26.4,24.6
94,ปัตตานี,36.8,25.6,22.2
95,ยะลา,39.8,25.3,21.4
96,นราธิวาส,35.5,26.4,21.6
