province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.8,28.0,22.2
11,สมุทรปราการ,33.4,29.5,23.5
13,ปทุมธานี,38.8,27.4,22.6
14,พระนครศรีอยุธยา,38.4,26.9,21.0
16,ลพบุรี,39.3,27.1,23.0
18,ชัยนาท,39.0,27.1,22.7
20,ชลบุรี,37.7,27.7,20.1
21,ระยอง,35.1,27.2,22.3
22,จันทบุรี,36.0,26.4,22.5
23,ตราด,34.6,26.5,23.8
24,ฉะเชิงเทรา,37.9,25.5,22.3
25,ปราจีนบุรี,37.8,26.8,22.2
27,สระแก้ว,37.4,26.7,23.0
30,นครราชสีมา,38.2,25.8,21.8
31,บุรีรัมย์,37.5,26.3,20.6
32,สุรินทร์,38.0,26.6,22.0
33,ศรีสะเกษ,38.3,27.0,24.2
34,อุบลราชธานี,39.1,26.9,22.5
36,ชัยภูมิ,38.4,26.8,23.5
40,ขอนแก่น,38.5,26.5,23.1
41,อุดรธานี,38.2,27.2,23.5
42,เลย,38.0,25.0,22.0
43,หนองคาย,39.8,27.5,23.6
44,มหาสารคาม,39.5,27.4,23.3
45,ร้อยเอ็ด,38.5,27.1,24.2
46,กาฬสินธุ์,38.5,27.1,23.5
47,สกลนคร,37.5,27.3,24.0
48,นครพนม,37.8,27.6,24.0
49,มุกดาหาร,38.9,27.4,24.0
50,เชียงใหม่,39.9,22.8,16.9
51,ลำพูน,41.0,26.0,22.8
52,ลำปาง,40.3,25.8,22.0
53,อุตรดิตถ์,40.5,27.3,24.4
54,แพร่,39.4,26.5,23.2
55,น่าน,39.3,24.7,20.5
56,พะเยา,38.1,25.4,21.6
57,เชียงราย,37.3,24.4,19.7
58,แม่ฮ่องสอน,40.0,25.7,20.9
60,นครสวรรค์,39.7,27.2,23.4
62,กำแพงเพชร,38.6,27.1,23.5
63,ตาก,39.1,25.0,18.9
64,สุโขทัย,38.7,27.6,24.0
65,พิษณุโลก,38.5,27.4,22.7
66,พิจิตร,38.5,27.8,23.4
67,เพชรบูรณ์,39.4,26.5,22.9
70,ราชบุรี,37.9,26.1,23.0
71,กาญจนบุรี,38.5,26.1,20.5
72,สุพรรณบุรี,38.9,27.4,21.3
73,นครปฐม,38.5,26.6,22.9
76,เพชรบุรี,37.3,27.4,21.9
77,ประจวบคีรีขันธ์,37.4,26.3,22.8
80,นครศรีธรรมราช,36.2,25.3,23.2
81,กระบี่,36.6,26.0,20.7
82,พังงา,34.1,25.5,23.0
83,ภูเก็ต,36.1,26.8,22.8
84,สุราษฎร์ธานี,36.4,25.6,22.8
85,ระนอง,35.6,25.4,23.0
86,ชุมพร,35.8,25.3,22.8
90,สงขลา,36.8,25.8,22.4
91,สตูล,35.3,25.6,23.5
92,ตรัง,35.3,25.3,23.4
93,พัทลุง,35.0,25.5,23.7
94,ปัตตานี,35.5,25.2,23.5
95,ยะลา,35.6,25.1,23.0
96,นราธิวาส,35.5,25.5,23.5
