province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.3,27.3,24.1
11,สมุทรปราการ,33.4,28.8,23.6
13,ปทุมธานี,39.0,26.4,24.5
14,พระนครศรีอยุธยา,39.5,25.9,22.7
16,ลพบุรี,41.7,26.2,23.0
18,ชัยนาท,38.6,25.7,23.2
20,ชลบุรี,35.7,27.0,22.0
21,ระยอง,34.9,26.7,24.2
22,จันทบุรี,35.2,25.7,22.4
23,ตราด,35.4,26.2,23.6
24,ฉะเชิงเทรา,39.2,24.4,22.0
25,ปราจีนบุรี,38.8,26.0,23.3
27,สระแก้ว,39.5,25.8,23.4
30,นครราชสีมา,39.7,25.1,21.5
31,บุรีรัมย์,40.0,25.5,22.3
32,สุรินทร์,39.5,25.9,23.0
33,ศรีสะเกษ,40.0,26.0,23.8
34,อุบลราชธานี,40.3,26.0,22.6
36,ชัยภูมิ,39.6,25.8,22.6
40,ขอนแก่น,38.5,25.5,22.5
41,อุดรธานี,39.0,25.8,22.4
42,เลย,39.8,23.4,21.0
43,หนองคาย,38.5,26.0,22.0
44,มหาสารคาม,39.0,26.2,23.0
45,ร้อยเอ็ด,38.6,25.9,23.2
46,กาฬสินธุ์,38.9,25.6,23.0
47,สกลนคร,37.8,25.6,22.0
48,นครพนม,38.2,26.3,22.5
49,มุกดาหาร,39.7,26.2,22.4
50,เชียงใหม่,39.3,21.0,11.4
51,ลำพูน,40.0,23.8,20.1
52,ลำปาง,41.6,24.3,19.6
53,อุตรดิตถ์,40.0,25.5,22.1
54,แพร่,40.7,24.8,20.3
55,น่าน,40.0,22.9,18.8
56,พะเยา,38.6,23.9,17.6
57,เชียงราย,37.8,22.4,17.5
58,แม่ฮ่องสอน,41.2,24.3,18.4
60,นครสวรรค์,40.3,26.1,23.0
62,กำแพงเพชร,39.4,25.6,22.5
63,ตาก,41.1,23.8,17.9
64,สุโขทัย,39.8,25.5,21.5
65,พิษณุโลก,38.2,25.7,22.4
66,พิจิตร,39.4,25.9,22.5
67,เพชรบูรณ์,40.8,25.2,21.5
70,ราชบุรี,37.3,25.4,23.4
71,กาญจนบุรี,38.8,25.7,21.5
72,สุพรรณบุรี,38.7,26.4,23.0
73,นครปฐม,37.5,26.0,23.3
76,เพชรบุรี,35.2,26.4,22.5
77,ประจวบคีรีขันธ์,38.0,25.6,22.2
80,นครศรีธรรมราช,37.0,24.5,22.7
81,กระบี่,36.0,25.5,21.0
82,พังงา,34.0,25.2,23.4
83,ภูเก็ต,35.0,26.4,23.0
84,สุราษฎร์ธานี,36.8,25.2,22.5
85,ระนอง,34.8,25.2,22.9
86,ชุมพร,36.0,25.0,23.2
90,สงขลา,36.6,25.3,21.3
91,สตูล,36.7,25.0,23.0
92,ตรัง,36.8,24.7,23.5
93,พัทลุง,35.3,25.2,24.0
94,ปัตตานี,35.6,25.0,23.3
95,ยะลา,36.2,24.8,22.1
96,นราธิวาส,35.2,25.0,21.0
