province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.8,25.1,18.2
11,สมุทรปราการ,34.6,26.9,22.4
13,ปทุมธานี,36.5,24.2,18.1
14,พระนครศรีอยุธยา,36.3,23.7,16.0
16,ลพบุรี,37.6,23.0,16.0
18,ชัยนาท,34.9,22.5,16.2
20,ชลบุรี,38.5,25.0,18.5
21,ระยอง,35.5,24.1,18.9
22,จันทบุรี,35.8,23.9,18.0
23,ตราด,,25.5,22.2
24,ฉะเชิงเทรา,36.5,21.7,16.5
25,ปราจีนบุรี,35.7,23.4,16.9
27,สระแก้ว,35.4,22.7,16.3
30,นครราชสีมา,34.8,20.9,13.4
31,บุรีรัมย์,35.2,20.4,12.2
32,สุรินทร์,35.2,20.9,12.9
33,ศรีสะเกษ,34.7,21.1,14.6
34,อุบลราชธานี,35.7,20.9,14.4
36,ชัยภูมิ,34.7,21.8,14.1
40,ขอนแก่น,34.5,19.7,12.0
41,อุดรธานี,34.7,19.2,11.2
42,เลย,34.2,18.5,9.3
43,หนองคาย,34.7,20.5,12.5
44,มหาสารคาม,34.7,20.5,13.3
45,ร้อยเอ็ด,34.8,20.3,13.0
46,กาฬสินธุ์,34.0,19.5,11.8
47,สกลนคร,34.1,18.8,11.5
48,นครพนม,33.7,19.4,11.1
49,มุกดาหาร,34.4,20.0,13.1
50,เชียงใหม่,33.9,17.4,8.0
51,ลำพูน,34.1,19.3,13.7
52,ลำปาง,35.1,18.9,12.3
53,อุตรดิตถ์,35.8,21.7,16.5
54,แพร่,35.0,19.5,13.8
55,น่าน,34.2,17.8,10.3
56,พะเยา,33.7,18.6,12.2
57,เชียงราย,32.8,18.5,12.0
58,แม่ฮ่องสอน,36.0,19.8,13.5
60,นครสวรรค์,36.1,22.9,15.3
62,กำแพงเพชร,34.7,21.4,15.0
63,ตาก,35.0,18.8,10.4
64,สุโขทัย,36.0,21.9,16.3
65,พิษณุโลก,34.8,21.6,14.0
66,พิจิตร,34.6,22.5,16.4
67,เพชรบูรณ์,36.9,21.6,15.1
70,ราชบุรี,34.3,23.2,18.1
71,กาญจนบุรี,35.5,22.2,15.8
72,สุพรรณบุรี,35.2,23.3,17.8
73,นครปฐม,34.3,22.7,18.4
76,เพชรบุรี,33.8,24.4,16.9
77,ประจวบคีรีขันธ์,34.6,24.2,19.0
80,นครศรีธรรมราช,34.8,24.4,22.3
81,กระบี่,34.2,25.8,23.0
82,พังงา,33.1,25.0,23.0
83,ภูเก็ต,36.0,26.0,23.1
84,สุราษฎร์ธานี,34.6,25.2,22.5
85,ระนอง,34.5,24.8,23.1
86,ชุมพร,33.8,24.1,21.6
90,สงขลา,33.8,25.6,22.4
91,สตูล,34.0,26.3,23.5
92,ตรัง,33.7,25.7,24.1
93,พัทลุง,32.3,25.1,23.8
94,ปัตตานี,33.3,25.0,23.2
95,ยะลา,33.4,24.6,23.2
96,นราธิวาส,32.8,25.6,22.7
