province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.2,28.4,24.9
11,สมุทรปราการ,34.0,29.2,22.5
13,ปทุมธานี,40.0,27.2,24.7
14,พระนครศรีอยุธยา,41.2,26.9,24.0
16,ลพบุรี,42.1,27.4,23.2
18,ชัยนาท,42.0,27.3,23.6
20,ชลบุรี,37.5,28.1,22.1
21,ระยอง,36.3,27.8,23.8
22,จันทบุรี,37.3,26.0,23.4
23,ตราด,34.5,26.4,23.8
24,ฉะเชิงเทรา,39.4,25.0,23.0
25,ปราจีนบุรี,40.1,26.7,23.5
27,สระแก้ว,40.0,26.5,23.9
30,นครราชสีมา,41.1,25.5,21.7
31,บุรีรัมย์,41.6,25.6,20.7
32,สุรินทร์,40.5,25.9,20.0
33,ศรีสะเกษ,40.1,25.3,21.4
34,อุบลราชธานี,40.7,25.4,20.7
36,ชัยภูมิ,41.3,26.0,23.0
40,ขอนแก่น,41.4,25.2,21.0
41,อุดรธานี,42.2,25.2,20.5
42,เลย,41.1,23.3,21.0
43,หนองคาย,41.5,25.1,19.0
44,มหาสารคาม,41.0,25.5,21.3
45,ร้อยเอ็ด,40.0,25.1,21.0
46,กาฬสินธุ์,40.7,24.9,20.4
47,สกลนคร,39.1,24.2,19.8
48,นครพนม,39.4,24.9,20.5
49,มุกดาหาร,40.6,24.9,20.5
50,เชียงใหม่,42.0,21.9,14.4
51,ลำพูน,42.6,24.1,20.3
52,ลำปาง,43.3,25.2,20.5
53,อุตรดิตถ์,42.5,26.5,24.5
54,แพร่,43.1,26.4,20.7
55,น่าน,42.5,23.1,16.9
56,พะเยา,39.8,24.8,19.5
57,เชียงราย,39.8,21.8,18.0
58,แม่ฮ่องสอน,43.3,23.5,17.0
60,นครสวรรค์,43.3,27.8,24.2
62,กำแพงเพชร,41.0,26.0,23.5
63,ตาก,43.5,23.5,14.4
64,สุโขทัย,43.0,26.4,22.7
65,พิษณุโลก,40.5,26.7,21.0
66,พิจิตร,41.8,26.9,22.5
67,เพชรบูรณ์,43.3,26.2,21.5
70,ราชบุรี,38.5,25.8,23.7
71,กาญจนบุรี,42.5,25.6,21.3
72,สุพรรณบุรี,40.6,27.1,24.0
73,นครปฐม,39.2,26.6,23.7
76,เพชรบุรี,36.9,27.1,24.4
77,ประจวบคีรีขันธ์,38.4,25.8,22.8
80,นครศรีธรรมราช,39.8,24.6,21.8
81,กระบี่,39.2,26.1,22.5
82,พังงา,35.3,25.1,23.1
83,ภูเก็ต,38.4,27.2,22.7
84,สุราษฎร์ธานี,39.0,25.5,21.4
85,ระนอง,37.3,25.6,23.5
86,ชุมพร,35.7,25.0,22.5
90,สงขลา,38.0,26.1,21.0
91,สตูล,37.0,26.0,23.7
92,ตรัง,38.9,25.7,23.9
93,พัทลุง,35.7,25.8,23.5
94,ปัตตานี,37.9,25.4,23.1
95,ยะลา,37.7,24.8,22.3
96,นราธิวาส,34.8,25.7,
