province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,37.6,24.4,19.9
11,สมุทรปราการ,31.2,26.3,22.5
13,ปทุมธานี,39.0,22.8,20.5
14,พระนครศรีอยุธยา,38.6,21.8,17.5
16,ลพบุรี,40.0,21.8,16.5
18,ชัยนาท,38.7,21.2,18.0
20,ชลบุรี,35.9,23.9,19.0
21,ระยอง,34.0,23.8,19.2
22,จันทบุรี,35.4,22.2,18.6
23,ตราด,34.2,23.1,20.6
24,ฉะเชิงเทรา,38.2,20.2,16.7
25,ปราจีนบุรี,37.3,21.7,17.0
27,สระแก้ว,38.8,21.3,17.3
30,นครราชสีมา,38.7,19.7,16.0
31,บุรีรัมย์,38.6,18.9,15.1
32,สุรินทร์,37.6,19.8,16.0
33,ศรีสะเกษ,38.4,19.0,15.0
34,อุบลราชธานี,38.6,18.9,13.8
36,ชัยภูมิ,38.9,20.5,17.5
40,ขอนแก่น,38.4,18.9,15.0
41,อุดรธานี,37.2,18.2,15.3
42,เลย,39.0,16.8,13.5
43,หนองคาย,37.0,19.8,15.9
44,มหาสารคาม,37.6,19.4,15.8
45,ร้อยเอ็ด,38.3,19.5,15.8
46,กาฬสินธุ์,36.5,19.1,15.2
47,สกลนคร,36.5,18.7,14.7
48,นครพนม,36.0,19.2,13.9
49,มุกดาหาร,38.1,19.1,15.3
50,เชียงใหม่,35.9,17.1,9.1
51,ลำพูน,37.1,18.3,13.9
52,ลำปาง,38.7,18.4,12.5
53,อุตรดิตถ์,37.4,20.1,16.7
54,แพร่,37.0,17.9,12.5
55,น่าน,37.2,16.3,11.3
56,พะเยา,35.6,17.9,11.2
57,เชียงราย,34.6,16.7,12.1
58,แม่ฮ่องสอน,38.4,16.5,11.0
60,นครสวรรค์,39.5,22.2,17.0
62,กำแพงเพชร,38.5,20.6,16.4
63,ตาก,38.8,17.9,10.1
64,สุโขทัย,37.7,20.0,15.2
65,พิษณุโลก,36.7,20.4,17.0
66,พิจิตร,37.1,21.0,18.4
67,เพชรบูรณ์,39.5,19.7,15.4
70,ราชบุรี,38.2,20.7,17.2
71,กาญจนบุรี,39.3,21.1,15.7
72,สุพรรณบุรี,37.3,21.7,17.4
73,นครปฐม,38.0,21.3,13.8
76,เพชรบุรี,32.3,23.7,19.9
77,ประจวบคีรีขันธ์,37.4,22.2,17.8
80,นครศรีธรรมราช,37.1,21.8,17.4
81,กระบี่,35.5,23.6,16.0
82,พังงา,35.5,23.2,18.7
83,ภูเก็ต,36.1,25.0,18.4
84,สุราษฎร์ธานี,37.6,22.9,17.2
85,ระนอง,35.9,23.0,18.5
86,ชุมพร,35.5,22.5,18.5
90,สงขลา,37.2,23.2,17.3
91,สตูล,36.1,23.9,19.6
92,ตรัง,36.4,22.4,18.9
93,พัทลุง,36.2,23.3,19.8
94,ปัตตานี,35.0,22.3,20.0
95,ยะลา,37.7,21.8,18.7
96,นราธิวาส,34.3,23.3,20.5
