province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.1,25.8,22.2
11,สมุทรปราการ,32.2,27.5,25.6
13,ปทุมธานี,38.7,23.8,20.8
14,พระนครศรีอยุธยา,38.6,23.2,17.6
16,ลพบุรี,39.0,23.1,17.5
18,ชัยนาท,37.0,22.3,18.3
20,ชลบุรี,37.8,25.2,19.8
21,ระยอง,35.4,24.9,22.0
22,จันทบุรี,35.9,23.4,20.5
23,ตราด,35.6,24.5,20.8
24,ฉะเชิงเทรา,38.2,21.4,18.6
25,ปราจีนบุรี,37.6,23.4,17.9
27,สระแก้ว,37.8,22.6,18.0
30,นครราชสีมา,38.4,20.8,16.5
31,บุรีรัมย์,38.0,20.0,15.8
32,สุรินทร์,37.4,20.7,16.0
33,ศรีสะเกษ,37.3,20.1,16.0
34,อุบลราชธานี,38.0,20.1,16.0
36,ชัยภูมิ,37.7,21.6,16.5
40,ขอนแก่น,37.9,19.8,15.2
41,อุดรธานี,37.2,19.1,15.0
42,เลย,37.8,17.7,14.0
43,หนองคาย,36.7,20.3,14.6
44,มหาสารคาม,37.5,20.1,16.4
45,ร้อยเอ็ด,37.5,20.4,16.5
46,กาฬสินธุ์,36.7,20.2,14.4
47,สกลนคร,36.1,19.5,15.5
48,นครพนม,36.9,20.2,14.7
49,มุกดาหาร,36.8,20.3,16.1
50,เชียงใหม่,35.6,17.1,12.7
51,ลำพูน,36.5,17.6,14.5
52,ลำปาง,38.4,18.4,14.0
53,อุตรดิตถ์,37.7,20.7,17.8
54,แพร่,36.8,18.1,14.8
55,น่าน,36.5,15.7,11.0
56,พะเยา,34.6,17.5,13.5
57,เชียงราย,34.0,16.2,12.1
58,แม่ฮ่องสอน,36.0,15.0,10.2
60,นครสวรรค์,38.0,23.4,18.5
62,กำแพงเพชร,37.0,20.8,17.3
63,ตาก,37.8,17.9,10.0
64,สุโขทัย,36.8,20.5,17.5
65,พิษณุโลก,36.5,22.0,17.8
66,พิจิตร,36.0,21.6,18.5
67,เพชรบูรณ์,38.3,21.3,16.6
70,ราชบุรี,36.6,21.7,18.2
71,กาญจนบุรี,38.0,21.7,17.8
72,สุพรรณบุรี,38.1,23.0,19.0
73,นครปฐม,36.2,22.2,17.2
76,เพชรบุรี,35.2,24.7,19.8
77,ประจวบคีรีขันธ์,36.7,23.0,16.2
80,นครศรีธรรมราช,37.5,22.5,18.0
81,กระบี่,37.0,24.5,20.5
82,พังงา,35.6,22.7,19.1
83,ภูเก็ต,37.2,25.7,20.4
84,สุราษฎร์ธานี,36.3,23.7,17.4
85,ระนอง,35.3,23.3,20.5
86,ชุมพร,34.5,23.1,20.3
90,สงขลา,35.2,24.6,19.1
91,สตูล,36.4,25.8,20.5
92,ตรัง,36.8,24.1,20.6
93,พัทลุง,32.6,24.5,21.8
94,ปัตตานี,35.0,23.6,21.2
95,ยะลา,34.7,23.3,20.4
96,นราธิวาส,31.8,24.8,
