province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,40.6,27.8,23.7
11,สมุทรปราการ,33.2,28.7,26.1
13,ปทุมธานี,40.1,26.3,23.0
14,พระนครศรีอยุธยา,41.1,25.9,21.4
16,ลพบุรี,41.8,26.0,21.5
18,ชัยนาท,41.2,25.8,22.6
20,ชลบุรี,37.3,27.5,22.0
21,ระยอง,34.7,28.2,25.8
22,จันทบุรี,36.3,25.7,23.5
23,ตราด,34.6,26.0,22.7
24,ฉะเชิงเทรา,39.5,24.0,22.2
25,ปราจีนบุรี,40.3,26.1,23.0
27,สระแก้ว,39.9,25.7,23.2
30,นครราชสีมา,41.2,24.6,20.2
31,บุรีรัมย์,41.0,25.0,21.8
32,สุรินทร์,40.1,25.4,21.0
33,ศรีสะเกษ,40.5,24.8,19.5
34,อุบลราชธานี,40.7,25.6,19.0
36,ชัยภูมิ,41.2,25.4,21.4
40,ขอนแก่น,41.0,24.6,20.8
41,อุดรธานี,39.5,23.8,20.7
42,เลย,39.8,21.9,11.0
43,หนองคาย,39.7,24.7,20.2
44,มหาสารคาม,40.8,24.9,20.5
45,ร้อยเอ็ด,40.2,25.2,21.0
46,กาฬสินธุ์,39.3,24.3,18.6
47,สกลนคร,38.6,23.9,19.6
48,นครพนม,38.6,24.4,19.2
49,มุกดาหาร,40.3,25.0,20.5
50,เชียงใหม่,42.2,20.4,16.2
51,ลำพูน,41.6,20.7,18.0
52,ลำปาง,42.9,22.0,18.5
53,อุตรดิตถ์,40.0,24.5,22.0
54,แพร่,41.3,23.5,19.7
55,น่าน,41.5,19.9,15.5
56,พะเยา,38.9,21.4,17.8
57,เชียงราย,38.2,18.3,15.5
58,แม่ฮ่องสอน,41.5,19.2,15.0
60,นครสวรรค์,41.0,26.4,22.8
62,กำแพงเพชร,40.0,24.3,21.3
63,ตาก,42.5,21.4,13.5
64,สุโขทัย,41.4,24.6,21.7
65,พิษณุโลก,40.0,25.8,21.3
66,พิจิตร,39.5,25.4,21.8
67,เพชรบูรณ์,41.3,24.5,20.9
70,ราชบุรี,39.1,24.4,21.1
71,กาญจนบุรี,41.3,24.3,19.2
72,สุพรรณบุรี,40.9,25.7,21.8
73,นครปฐม,39.7,25.4,21.3
76,เพชรบุรี,36.9,27.2,24.2
77,ประจวบคีรีขันธ์,39.0,24.7,20.5
80,นครศรีธรรมราช,39.8,23.0,20.0
81,กระบี่,39.0,24.9,22.0
82,พังงา,36.0,24.7,22.6
83,ภูเก็ต,37.3,26.2,21.5
84,สุราษฎร์ธานี,39.6,24.3,19.9
85,ระนอง,37.0,24.3,22.5
86,ชุมพร,37.2,23.6,20.0
90,สงขลา,38.9,24.7,18.6
91,สตูล,38.5,24.8,21.0
92,ตรัง,39.0,24.0,21.4
93,พัทลุง,35.7,24.6,22.5
94,ปัตตานี,37.0,23.9,21.1
95,ยะลา,37.4,23.5,20.2
96,นราธิวาส,33.5,24.7,
