province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.7,26.9,23.0
11,สมุทรปราการ,32.7,28.8,23.2
13,ปทุมธานี,36.5,26.4,23.5
14,พระนครศรีอยุธยา,36.0,25.9,22.0
16,ลพบุรี,36.9,25.7,22.6
18,ชัยนาท,35.5,25.6,22.7
20,ชลบุรี,35.2,27.0,22.3
21,ระยอง,35.4,26.9,22.9
22,จันทบุรี,35.4,25.4,23.0
23,ตราด,33.6,25.2,22.8
24,ฉะเชิงเทรา,36.5,24.7,22.7
25,ปราจีนบุรี,35.5,25.7,22.7
27,สระแก้ว,35.2,25.6,23.3
30,นครราชสีมา,35.4,24.9,21.1
31,บุรีรัมย์,34.6,25.5,22.2
32,สุรินทร์,34.8,25.8,22.3
33,ศรีสะเกษ,34.5,25.8,23.0
34,อุบลราชธานี,35.4,25.2,22.3
36,ชัยภูมิ,35.6,25.3,22.2
40,ขอนแก่น,36.3,25.4,22.4
41,อุดรธานี,36.0,25.9,22.8
42,เลย,36.8,24.8,22.2
43,หนองคาย,36.5,26.2,22.4
44,มหาสารคาม,35.6,26.0,22.5
45,ร้อยเอ็ด,35.0,26.1,22.8
46,กาฬสินธุ์,34.5,26.1,21.9
47,สกลนคร,34.8,25.7,22.7
48,นครพนม,35.7,25.7,23.4
49,มุกดาหาร,36.0,25.7,23.5
50,เชียงใหม่,36.5,21.8,16.0
51,ลำพูน,36.1,24.8,22.5
52,ลำปาง,36.6,24.5,21.5
53,อุตรดิตถ์,37.0,25.5,23.6
54,แพร่,35.9,25.2,21.6
55,น่าน,37.2,24.7,22.5
56,พะเยา,35.7,24.8,22.0
57,เชียงราย,35.1,24.9,23.3
58,แม่ฮ่องสอน,36.1,24.8,21.5
60,นครสวรรค์,36.3,25.5,23.2
62,กำแพงเพชร,35.3,25.5,22.9
63,ตาก,37.4,23.6,18.3
64,สุโขทัย,35.8,25.9,22.9
65,พิษณุโลก,35.5,25.7,23.4
66,พิจิตร,35.0,26.2,23.8
67,เพชรบูรณ์,35.4,25.5,23.0
70,ราชบุรี,35.6,25.4,23.3
71,กาญจนบุรี,38.0,25.2,20.5
72,สุพรรณบุรี,36.6,26.2,19.5
73,นครปฐม,36.9,25.7,24.0
76,เพชรบุรี,35.5,26.6,22.3
77,ประจวบคีรีขันธ์,35.8,25.5,22.2
80,นครศรีธรรมราช,36.4,24.9,22.7
81,กระบี่,35.3,25.4,23.0
82,พังงา,32.8,25.5,23.2
83,ภูเก็ต,34.8,26.4,23.3
84,สุราษฎร์ธานี,36.5,25.2,22.2
85,ระนอง,32.7,25.3,22.4
86,ชุมพร,35.0,25.3,23.5
90,สงขลา,36.3,25.1,21.2
91,สตูล,35.3,24.9,23.2
92,ตรัง,35.3,24.7,23.0
93,พัทลุง,35.5,25.1,23.7
94,ปัตตานี,35.1,24.9,23.1
95,ยะลา,35.5,24.7,22.4
96,นราธิวาส,34.0,24.8,23.0
