province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.6,23.9,18.4
11,สมุทรปราการ,30.3,25.1,22.0
13,ปทุมธานี,35.5,22.2,18.5
14,พระนครศรีอยุธยา,34.6,21.8,16.0
16,ลพบุรี,34.0,21.2,14.1
18,ชัยนาท,33.3,20.8,15.5
20,ชลบุรี,35.0,23.5,15.0
21,ระยอง,34.6,23.1,18.7
22,จันทบุรี,35.0,22.6,18.2
23,ตราด,33.9,24.5,19.5
24,ฉะเชิงเทรา,35.2,19.8,15.3
25,ปราจีนบุรี,37.7,22.1,17.5
27,สระแก้ว,34.8,21.5,17.0
30,นครราชสีมา,33.2,19.2,13.4
31,บุรีรัมย์,32.5,18.6,14.0
32,สุรินทร์,32.3,19.5,14.5
33,ศรีสะเกษ,32.5,20.0,16.7
34,อุบลราชธานี,34.0,19.4,15.6
36,ชัยภูมิ,32.7,19.2,14.6
40,ขอนแก่น,33.1,17.8,11.2
41,อุดรธานี,32.2,16.4,11.1
42,เลย,31.7,15.9,9.2
43,หนองคาย,31.3,17.7,12.0
44,มหาสารคาม,33.5,18.6,13.0
45,ร้อยเอ็ด,33.1,18.6,14.5
46,กาฬสินธุ์,32.0,17.8,12.0
47,สกลนคร,32.0,16.7,11.5
48,นครพนม,32.2,17.3,11.7
49,มุกดาหาร,32.6,18.3,13.2
50,เชียงใหม่,31.5,15.2,6.4
51,ลำพูน,32.4,16.6,13.4
52,ลำปาง,33.3,16.4,12.4
53,อุตรดิตถ์,34.0,19.1,15.2
54,แพร่,33.4,16.7,12.7
55,น่าน,32.5,15.0,10.0
56,พะเยา,30.8,16.2,11.9
57,เชียงราย,30.1,15.7,11.2
58,แม่ฮ่องสอน,33.4,16.8,11.2
60,นครสวรรค์,33.7,21.0,13.9
62,กำแพงเพชร,32.4,19.4,14.0
63,ตาก,33.0,16.5,8.1
64,สุโขทัย,32.9,19.9,15.6
65,พิษณุโลก,33.3,19.3,13.0
66,พิจิตร,33.1,20.4,15.6
67,เพชรบูรณ์,34.5,18.8,11.7
70,ราชบุรี,33.2,21.4,16.9
71,กาญจนบุรี,34.0,19.9,13.0
72,สุพรรณบุรี,33.2,21.5,12.9
73,นครปฐม,31.8,21.1,15.2
76,เพชรบุรี,32.6,22.9,18.3
77,ประจวบคีรีขันธ์,33.5,22.9,15.1
80,นครศรีธรรมราช,34.0,23.2,20.0
81,กระบี่,35.7,24.2,22.7
82,พังงา,33.5,23.7,21.0
83,ภูเก็ต,34.3,25.0,20.0
84,สุราษฎร์ธานี,34.0,24.0,19.6
85,ระนอง,33.6,23.7,19.6
86,ชุมพร,33.9,22.6,18.6
90,สงขลา,33.5,24.6,19.7
91,สตูล,34.0,24.7,21.8
92,ตรัง,34.1,24.2,22.3
93,พัทลุง,32.4,24.2,22.0
94,ปัตตานี,32.7,24.2,21.8
95,ยะลา,33.5,23.6,21.4
96,นราธิวาส,32.2,24.5,22.0
