province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.4,27.5,24.4
11,สมุทรปราการ,33.4,29.1,23.5
13,ปทุมธานี,39.0,27.1,24.8
14,พระนครศรีอยุธยา,37.6,26.1,23.5
16,ลพบุรี,40.4,26.3,23.8
18,ชัยนาท,38.0,26.0,24.0
20,ชลบุรี,37.2,27.7,22.2
21,ระยอง,37.5,27.4,24.2
22,จันทบุรี,34.9,26.3,22.8
23,ตราด,33.6,26.1,23.2
24,ฉะเชิงเทรา,38.0,25.4,23.1
25,ปราจีนบุรี,37.0,26.3,23.3
27,สระแก้ว,37.3,26.2,23.9
30,นครราชสีมา,39.7,26.0,21.5
31,บุรีรัมย์,37.7,25.9,23.0
32,สุรินทร์,37.4,26.2,22.0
33,ศรีสะเกษ,38.0,26.4,23.0
34,อุบลราชธานี,36.8,26.0,21.7
36,ชัยภูมิ,39.3,25.9,23.0
40,ขอนแก่น,38.8,26.1,23.5
41,อุดรธานี,37.6,26.5,23.8
42,เลย,39.3,25.2,23.0
43,หนองคาย,38.0,26.9,23.0
44,มหาสารคาม,38.3,26.8,23.7
45,ร้อยเอ็ด,37.2,26.3,23.5
46,กาฬสินธุ์,37.2,26.6,23.5
47,สกลนคร,36.0,26.5,23.5
48,นครพนม,36.4,26.1,23.2
49,มุกดาหาร,37.8,26.3,23.0
50,เชียงใหม่,37.0,22.0,16.0
51,ลำพูน,38.4,25.5,23.4
52,ลำปาง,40.8,25.1,22.9
53,อุตรดิตถ์,39.0,26.0,24.5
54,แพร่,37.6,25.7,23.0
55,น่าน,36.6,25.0,22.8
56,พะเยา,35.9,25.1,23.0
57,เชียงราย,34.4,25.1,23.4
58,แม่ฮ่องสอน,37.3,24.8,22.0
60,นครสวรรค์,38.4,26.0,23.8
62,กำแพงเพชร,38.4,26.0,24.1
63,ตาก,38.5,24.0,18.6
64,สุโขทัย,38.6,26.5,24.7
65,พิษณุโลก,38.0,26.2,24.4
66,พิจิตร,38.6,26.3,23.9
67,เพชรบูรณ์,39.5,25.8,23.5
70,ราชบุรี,37.1,25.7,23.9
71,กาญจนบุรี,39.5,25.4,22.5
72,สุพรรณบุรี,38.5,26.5,21.6
73,นครปฐม,38.7,26.0,23.5
76,เพชรบุรี,37.4,26.7,22.9
77,ประจวบคีรีขันธ์,38.0,25.9,22.5
80,นครศรีธรรมราช,36.9,25.4,23.6
81,กระบี่,33.9,26.2,19.2
82,พังงา,33.0,26.7,23.0
83,ภูเก็ต,34.7,27.3,22.2
84,สุราษฎร์ธานี,36.8,25.5,22.8
85,ระนอง,33.5,25.5,22.5
86,ชุมพร,35.8,25.4,22.5
90,สงขลา,36.1,25.5,21.7
91,สตูล,34.5,25.4,23.5
92,ตรัง,34.5,25.1,22.9
93,พัทลุง,35.5,25.2,23.5
94,ปัตตานี,35.7,25.3,23.5
95,ยะลา,35.7,24.9,23.0
96,นราธิวาส,35.4,25.5,21.5
