province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,39.5,27.6,20.3
11,สมุทรปราการ,33.8,28.3,21.5
13,ปทุมธานี,39.7,26.3,19.5
14,พระนครศรีอยุธยา,39.6,25.7,17.5
16,ลพบุรี,39.7,25.7,19.0
18,ชัยนาท,39.5,26.0,19.0
20,ชลบุรี,37.8,26.8,17.2
21,ระยอง,35.5,26.6,18.2
22,จันทบุรี,36.0,25.4,17.9
23,ตราด,35.3,26.3,23.3
24,ฉะเชิงเทรา,38.9,23.8,17.2
25,ปราจีนบุรี,39.0,25.5,18.0
27,สระแก้ว,39.0,25.4,17.3
30,นครราชสีมา,38.8,24.0,14.8
31,บุรีรัมย์,39.0,24.2,15.4
32,สุรินทร์,38.5,24.4,15.0
33,ศรีสะเกษ,38.2,24.2,17.5
34,อุบลราชธานี,38.4,23.9,17.6
36,ชัยภูมิ,39.6,24.7,17.9
40,ขอนแก่น,39.5,24.2,17.4
41,อุดรธานี,40.5,24.5,18.5
42,เลย,38.6,22.7,17.9
43,หนองคาย,38.7,24.6,18.9
44,มหาสารคาม,40.3,24.9,18.0
45,ร้อยเอ็ด,39.7,24.2,17.0
46,กาฬสินธุ์,39.6,24.1,16.3
47,สกลนคร,38.9,23.7,17.5
48,นครพนม,38.0,24.4,17.5
49,มุกดาหาร,39.4,24.2,17.5
50,เชียงใหม่,39.3,21.3,8.0
51,ลำพูน,41.0,24.3,20.0
52,ลำปาง,42.6,24.5,19.5
53,อุตรดิตถ์,40.6,25.7,22.0
54,แพร่,40.1,24.7,19.5
55,น่าน,38.8,23.0,18.2
56,พะเยา,38.0,23.7,17.6
57,เชียงราย,37.6,22.8,16.4
58,แม่ฮ่องสอน,41.2,24.5,19.9
60,นครสวรรค์,40.7,26.3,19.5
62,กำแพงเพชร,40.2,25.6,21.4
63,ตาก,40.6,23.5,12.4
64,สุโขทัย,41.5,26.4,22.4
65,พิษณุโลก,40.3,26.0,21.0
66,พิจิตร,39.4,26.0,21.5
67,เพชรบูรณ์,40.9,24.8,19.3
70,ราชบุรี,39.0,25.1,20.4
71,กาญจนบุรี,40.0,25.3,17.9
72,สุพรรณบุรี,40.1,26.4,17.0
73,นครปฐม,38.8,25.5,20.5
76,เพชรบุรี,34.8,26.5,20.4
77,ประจวบคีรีขันธ์,38.6,25.3,20.3
80,นครศรีธรรมราช,37.2,24.6,23.0
81,กระบี่,36.1,25.3,23.6
82,พังงา,34.0,25.2,23.1
83,ภูเก็ต,37.7,26.5,23.0
84,สุราษฎร์ธานี,37.7,25.1,22.6
85,ระนอง,35.6,25.2,23.0
86,ชุมพร,36.8,24.8,22.2
90,สงขลา,37.2,25.3,22.6
91,สตูล,35.4,25.2,23.0
92,ตรัง,35.9,24.7,23.2
93,พัทลุง,35.6,25.2,23.3
94,ปัตตานี,36.3,24.8,22.7
95,ยะลา,36.3,24.6,22.8
96,นราธิวาส,34.5,25.0,22.5
