province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.3,27.4,26.2
11,สมุทรปราการ,34.4,28.0,25.1
13,ปทุมธานี,35.0,26.0,25.5
14,พระนครศรีอยุธยา,34.7,26.2,24.5
16,ลพบุรี,34.7,25.7,24.2
18,ชัยนาท,35.0,26.1,25.1
20,ชลบุรี,35.5,28.0,26.0
21,ระยอง,33.3,26.4,25.3
22,จันทบุรี,32.3,26.9,25.3
23,ตราด,ไม่มีผลการตรวจวัด,26.5,23.3
24,ฉะเชิงเทรา,33.6,24.4,24.3
25,ปราจีนบุรี,33.8,26.7,25.8
26,นครนายก,26.3,20.9,18.7
27,สระแก้ว,34.2,26.5,25.7
30,นครราชสีมา,34.3,25.9,23.0
31,บุรีรัมย์,33.8,25.0,23.6
32,สุรินทร์,33.5,25.8,24.8
33,ศรีสะเกษ,33.2,27.2,26.5
34,อุบลราชธานี,33.5,27.1,25.5
35,ยโสธร,31.6,26.6,26.0
36,ชัยภูมิ,33.4,26.8,26.5
37,อำนาจเจริญ,31.6,25.8,25.5
38,บึงกาฬ,32.0,26.5,25.4
39,หนองบัวลำภู,29.8,24.3,23.9
40,ขอนแก่น,33.4,25.2,23.6
41,อุดรธานี,32.0,25.7,25.2
42,เลย,33.4,24.8,23.5
43,หนองคาย,31.9,26.5,25.0
44,มหาสารคาม,32.5,26.5,25.0
45,ร้อยเอ็ด,32.6,27.0,26.0
46,กาฬสินธุ์,31.1,26.8,25.5
47,สกลนคร,29.9,26.1,24.8
48,นครพนม,30.6,26.0,24.4
49,มุกดาหาร,31.0,26.3,25.5
50,เชียงใหม่,34.8,21.2,17.3
51,ลำพูน,35.5,24.2,23.4
52,ลำปาง,36.5,24.7,23.9
53,อุตรดิตถ์,35.0,27.0,27.0
54,แพร่,33.5,25.5,24.5
55,น่าน,33.3,25.2,23.8
56,พะเยา,34.4,24.5,23.5
57,เชียงราย,31.0,23.9,23.0
58,แม่ฮ่องสอน,34.0,25.3,23.5
60,นครสวรรค์,34.5,25.9,24.0
61,อุทัยธานี,35.0,26.2,25.6
62,กำแพงเพชร,34.5,25.9,23.1
63,ตาก,35.7,24.5,20.4
64,สุโขทัย,34.8,26.9,26.5
65,พิษณุโลก,33.6,27.0,26.3
66,พิจิตร,32.2,27.1,26.4
67,เพชรบูรณ์,33.9,26.3,25.2
70,ราชบุรี,33.5,24.9,24.4
71,กาญจนบุรี,35.3,25.7,24.0
72,สุพรรณบุรี,35.5,26.6,25.5
73,นครปฐม,35.3,26.0,25.2
75,สมุทรสงคราม,33.4,25.9,ไม่มีผลการตรวจวัด
76,เพชรบุรี,33.4,26.7,24.6
77,ประจวบคีรีขันธ์,35.0,26.0,23.1
80,นครศรีธรรมราช,35.5,25.2,24.2
81,กระบี่,33.3,26.9,24.3
82,พังงา,32.5,25.0,24.7
83,ภูเก็ต,33.0,28.0,26.5
84,สุราษฎร์ธานี,35.2,25.3,23.9
85,ระนอง,32.0,24.5,24.1
86,ชุมพร,33.8,25.1,24.6
90,สงขลา,32.8,25.1,23.3
91,สตูล,33.2,25.0,24.2
92,ตรัง,32.0,25.5,25.0
93,พัทลุง,33.0,26.4,26.0
94,ปัตตานี,33.5,24.8,24.1
95,ยะลา,33.2,24.8,23.7
96,นราธิวาส,33.5,26.1,24.2
