province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,35.2,25.4,21.9
11,สมุทรปราการ,32.0,26.5,23.1
13,ปทุมธานี,35.5,25.2,22.2
14,พระนครศรีอยุธยา,34.3,24.8,21.5
16,ลพบุรี,35.3,24.6,21.3
18,ชัยนาท,34.6,24.7,22.5
20,ชลบุรี,34.5,25.6,22.5
21,ระยอง,33.3,25.2,23.3
22,จันทบุรี,33.0,24.9,21.7
23,ตราด,33.1,25.0,23.1
24,ฉะเชิงเทรา,34.6,24.1,21.5
25,ปราจีนบุรี,34.8,25.2,22.5
27,สระแก้ว,36.8,24.7,21.7
30,นครราชสีมา,34.3,23.2,19.5
31,บุรีรัมย์,33.8,23.5,19.2
32,สุรินทร์,34.1,23.8,17.6
33,ศรีสะเกษ,33.8,23.9,19.5
34,อุบลราชธานี,33.7,23.7,19.5
36,ชัยภูมิ,34.6,24.0,21.0
40,ขอนแก่น,33.9,23.6,18.4
41,อุดรธานี,33.8,23.9,20.3
42,เลย,33.5,23.5,20.6
43,หนองคาย,33.7,24.6,20.4
44,มหาสารคาม,34.5,23.9,19.5
45,ร้อยเอ็ด,33.2,23.6,19.0
46,กาฬสินธุ์,33.8,23.7,18.6
47,สกลนคร,33.3,23.4,18.0
48,นครพนม,34.4,23.8,18.0
49,มุกดาหาร,34.5,23.5,19.0
50,เชียงใหม่,34.8,20.7,13.5
51,ลำพูน,34.4,23.7,21.3
52,ลำปาง,35.2,23.6,20.7
53,อุตรดิตถ์,35.0,25.2,23.2
54,แพร่,34.8,24.4,21.9
55,น่าน,35.1,23.1,18.5
56,พะเยา,33.5,23.2,20.0
57,เชียงราย,33.6,22.8,19.3
58,แม่ฮ่องสอน,36.5,24.1,21.1
60,นครสวรรค์,35.1,24.7,21.9
62,กำแพงเพชร,35.0,24.8,22.4
63,ตาก,35.2,23.1,17.4
64,สุโขทัย,35.3,25.3,22.3
65,พิษณุโลก,34.0,25.0,22.6
66,พิจิตร,34.3,25.4,22.8
67,เพชรบูรณ์,35.0,24.3,21.7
70,ราชบุรี,33.8,24.7,22.5
71,กาญจนบุรี,35.4,24.6,20.5
72,สุพรรณบุรี,35.5,24.9,22.0
73,นครปฐม,35.6,24.5,22.0
76,เพชรบุรี,34.6,25.3,22.5
77,ประจวบคีรีขันธ์,34.7,24.7,22.2
80,นครศรีธรรมราช,34.5,24.7,23.0
81,กระบี่,33.5,25.3,21.1
82,พังงา,32.1,24.9,22.4
83,ภูเก็ต,34.5,26.1,21.5
84,สุราษฎร์ธานี,34.6,24.8,22.2
85,ระนอง,32.5,24.2,22.9
86,ชุมพร,33.8,24.5,23.0
90,สงขลา,36.0,25.0,21.6
91,สตูล,34.2,24.8,23.0
92,ตรัง,34.2,24.7,23.4
93,พัทลุง,34.3,25.1,23.5
94,ปัตตานี,34.2,25.1,23.1
95,ยะลา,34.7,24.8,22.6
96,นราธิวาส,34.2,25.0,
