province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,32.8,28.2,26.7
11,สมุทรปราการ,31.5,28.9,28.0
13,ปทุมธานี,33.9,27.6,27.3
14,พระนครศรีอยุธยา,33.0,27.5,24.3
16,ลพบุรี,33.0,26.9,25.2
18,ชัยนาท,30.9,26.5,26.3
20,ชลบุรี,32.1,28.4,26.7
21,ระยอง,31.3,28.2,27.1
22,จันทบุรี,31.9,26.0,24.3
23,ตราด,ไม่มีผลการตรวจวัด,25.5,24.5
24,ฉะเชิงเทรา,32.8,25.8,25.5
25,ปราจีนบุรี,32.0,27.0,26.0
26,นครนายก,21.7,24.8,20.1
27,สระแก้ว,33.0,26.5,25.7
30,นครราชสีมา,33.1,25.8,23.8
31,บุรีรัมย์,32.0,25.4,23.7
32,สุรินทร์,31.9,26.0,24.9
33,ศรีสะเกษ,30.5,26.0,25.8
34,อุบลราชธานี,31.1,26.3,24.9
35,ยโสธร,29.3,25.5,23.7
36,ชัยภูมิ,29.5,25.7,24.6
37,อำนาจเจริญ,29.7,25.1,23.5
38,บึงกาฬ,27.7,24.7,24.2
39,หนองบัวลำภู,29.2,25.5,25.3
40,ขอนแก่น,29.3,25.7,24.5
41,อุดรธานี,31.4,26.2,26.0
42,เลย,30.3,24.7,24.3
43,หนองคาย,31.0,26.0,24.5
44,มหาสารคาม,30.2,26.2,25.3
45,ร้อยเอ็ด,31.8,26.0,24.1
46,กาฬสินธุ์,30.7,25.9,24.4
47,สกลนคร,30.1,26.1,25.0
48,นครพนม,30.0,25.8,24.1
49,มุกดาหาร,31.0,25.8,24.6
50,เชียงใหม่,26.8,21.3,17.8
51,ลำพูน,27.5,24.2,23.5
52,ลำปาง,27.9,24.5,24.0
53,อุตรดิตถ์,29.4,25.9,25.5
54,แพร่,28.0,24.5,23.7
55,น่าน,27.0,23.9,23.0
56,พะเยา,25.6,23.5,23.0
57,เชียงราย,28.0,23.7,23.0
58,แม่ฮ่องสอน,29.5,24.2,23.2
60,นครสวรรค์,31.5,26.6,25.4
61,อุทัยธานี,31.0,26.6,26.2
62,กำแพงเพชร,29.3,26.1,25.1
63,ตาก,30.7,23.9,21.0
64,สุโขทัย,30.8,25.7,25.0
65,พิษณุโลก,30.8,26.2,25.3
66,พิจิตร,30.5,26.5,26.1
67,เพชรบูรณ์,30.2,25.8,25.0
70,ราชบุรี,32.3,26.5,26.1
71,กาญจนบุรี,32.0,26.1,25.0
72,สุพรรณบุรี,33.0,27.0,26.7
73,นครปฐม,32.7,27.0,26.2
75,สมุทรสงคราม,30.5,27.8,ไม่มีผลการตรวจวัด
76,เพชรบุรี,30.0,27.2,25.4
77,ประจวบคีรีขันธ์,31.9,26.2,24.0
80,นครศรีธรรมราช,34.8,25.5,24.5
81,กระบี่,34.8,25.6,23.8
82,พังงา,32.5,26.0,25.7
83,ภูเก็ต,34.5,26.0,24.5
84,สุราษฎร์ธานี,35.0,25.6,24.0
85,ระนอง,32.2,26.1,25.5
86,ชุมพร,32.2,25.1,24.7
90,สงขลา,34.9,26.1,24.1
91,สตูล,33.0,25.7,25.1
92,ตรัง,32.3,25.5,25.2
93,พัทลุง,33.5,25.8,25.8
94,ปัตตานี,33.8,24.9,24.3
95,ยะลา,34.7,24.4,23.6
96,นราธิวาส,33.9,25.0,24.2
