province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.1,26.9,23.6
11,สมุทรปราการ,33.1,28.2,24.0
13,ปทุมธานี,36.2,26.7,24.4
14,พระนครศรีอยุธยา,36.2,26.3,23.0
16,ลพบุรี,36.3,26.0,23.2
18,ชัยนาท,35.0,26.0,23.4
20,ชลบุรี,37.1,26.6,23.1
21,ระยอง,34.9,26.1,23.3
22,จันทบุรี,34.9,25.7,23.5
23,ตราด,33.0,25.6,23.7
24,ฉะเชิงเทรา,35.0,24.9,23.6
25,ปราจีนบุรี,35.5,26.1,23.9
27,สระแก้ว,35.1,25.8,23.4
30,นครราชสีมา,34.5,24.8,21.0
31,บุรีรัมย์,34.7,25.2,22.8
32,สุรินทร์,34.8,25.5,22.7
33,ศรีสะเกษ,34.1,25.7,23.8
34,อุบลราชธานี,35.7,25.2,22.2
36,ชัยภูมิ,34.2,25.3,23.4
40,ขอนแก่น,34.2,25.2,22.0
41,อุดรธานี,34.7,25.1,22.8
42,เลย,35.5,24.1,21.2
43,หนองคาย,35.1,25.8,23.0
44,มหาสารคาม,35.1,25.8,23.0
45,ร้อยเอ็ด,34.8,25.6,23.4
46,กาฬสินธุ์,34.9,26.0,23.2
47,สกลนคร,34.6,25.0,21.8
48,นครพนม,34.5,24.9,21.8
49,มุกดาหาร,34.8,25.2,22.5
50,เชียงใหม่,35.5,21.2,14.4
51,ลำพูน,35.6,24.4,22.7
52,ลำปาง,36.0,24.1,22.2
53,อุตรดิตถ์,36.7,25.4,23.7
54,แพร่,36.0,25.0,23.2
55,น่าน,36.1,24.0,19.8
56,พะเยา,36.7,24.2,21.3
57,เชียงราย,34.6,24.1,21.2
58,แม่ฮ่องสอน,36.0,24.6,21.5
60,นครสวรรค์,35.7,25.8,23.2
62,กำแพงเพชร,36.6,25.3,22.2
63,ตาก,36.9,23.4,16.9
64,สุโขทัย,35.1,26.3,22.8
65,พิษณุโลก,35.0,25.7,23.0
66,พิจิตร,35.4,26.4,24.0
67,เพชรบูรณ์,36.5,25.4,22.7
70,ราชบุรี,35.5,25.8,23.8
71,กาญจนบุรี,36.0,25.3,21.5
72,สุพรรณบุรี,36.1,26.3,23.9
73,นครปฐม,35.8,25.7,23.5
76,เพชรบุรี,34.0,26.4,22.3
77,ประจวบคีรีขันธ์,35.8,25.5,22.5
80,นครศรีธรรมราช,34.9,25.0,23.6
81,กระบี่,34.7,26.0,23.2
82,พังงา,33.0,25.1,23.4
83,ภูเก็ต,35.0,26.2,22.7
84,สุราษฎร์ธานี,36.0,25.3,23.5
85,ระนอง,33.9,25.0,23.1
86,ชุมพร,34.9,25.2,23.2
90,สงขลา,35.9,25.4,22.7
91,สตูล,34.3,25.5,23.5
92,ตรัง,35.0,25.3,24.0
93,พัทลุง,34.8,25.3,23.5
94,ปัตตานี,34.6,25.1,23.2
95,ยะลา,35.4,24.9,23.0
96,นราธิวาส,34.8,25.4,23.7
