province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.2,27.4,24.2
11,สมุทรปราการ,33.2,29.1,27.0
13,ปทุมธานี,37.0,27.3,25.4
14,พระนครศรีอยุธยา,36.2,26.2,23.4
16,ลพบุรี,36.0,26.0,24.1
18,ชัยนาท,36.0,26.3,25.3
20,ชลบุรี,37.1,28.0,22.4
21,ระยอง,34.9,27.9,24.3
22,จันทบุรี,33.4,26.3,23.5
23,ตราด,32.8,26.2,23.5
24,ฉะเชิงเทรา,35.0,25.6,23.8
25,ปราจีนบุรี,35.0,26.1,23.9
27,สระแก้ว,35.3,26.0,23.4
30,นครราชสีมา,35.4,25.2,22.9
31,บุรีรัมย์,35.4,25.6,23.3
32,สุรินทร์,35.0,25.8,22.7
33,ศรีสะเกษ,35.0,25.9,24.0
34,อุบลราชธานี,34.4,25.6,22.7
36,ชัยภูมิ,34.8,25.3,23.0
40,ขอนแก่น,35.9,25.5,22.9
41,อุดรธานี,35.6,25.7,24.0
42,เลย,36.0,25.0,23.0
43,หนองคาย,35.0,25.7,24.4
44,มหาสารคาม,36.0,26.0,24.2
45,ร้อยเอ็ด,35.2,25.7,24.6
46,กาฬสินธุ์,35.0,25.8,24.5
47,สกลนคร,34.7,25.4,23.5
48,นครพนม,34.7,25.5,24.0
49,มุกดาหาร,34.5,25.6,23.7
50,เชียงใหม่,37.0,21.9,17.5
51,ลำพูน,37.5,25.2,23.6
52,ลำปาง,38.2,24.9,21.3
53,อุตรดิตถ์,37.6,26.0,25.0
54,แพร่,36.7,25.6,23.8
55,น่าน,37.5,24.9,22.6
56,พะเยา,35.4,25.0,22.6
57,เชียงราย,34.4,25.1,23.5
58,แม่ฮ่องสอน,37.7,25.2,22.5
60,นครสวรรค์,35.3,26.0,24.4
62,กำแพงเพชร,36.0,26.2,24.5
63,ตาก,38.4,24.2,19.8
64,สุโขทัย,36.6,26.0,24.1
65,พิษณุโลก,36.3,25.9,23.7
66,พิจิตร,36.2,26.3,24.8
67,เพชรบูรณ์,37.2,25.5,23.5
70,ราชบุรี,35.0,25.9,24.8
71,กาญจนบุรี,36.0,25.9,23.5
72,สุพรรณบุรี,37.6,26.7,25.0
73,นครปฐม,37.2,26.2,24.8
76,เพชรบุรี,35.0,27.5,23.8
77,ประจวบคีรีขันธ์,36.5,26.5,23.6
80,นครศรีธรรมราช,35.5,25.0,23.7
81,กระบี่,33.6,27.1,23.7
82,พังงา,33.1,25.2,23.4
83,ภูเก็ต,34.8,26.5,23.8
84,สุราษฎร์ธานี,35.3,25.3,23.4
85,ระนอง,32.6,25.1,23.2
86,ชุมพร,34.3,25.0,23.8
90,สงขลา,34.8,25.3,22.4
91,สตูล,34.0,25.1,23.4
92,ตรัง,33.7,24.9,23.5
93,พัทลุง,34.9,25.1,24.0
94,ปัตตานี,35.4,25.2,23.7
95,ยะลา,35.1,25.0,23.4
96,นราธิวาส,34.8,25.4,23.3
