province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,36.0,25.6,21.0
11,สมุทรปราการ,32.9,27.4,24.0
13,ปทุมธานี,36.3,24.7,20.0
14,พระนครศรีอยุธยา,36.0,24.1,17.3
16,ลพบุรี,36.1,23.6,16.5
18,ชัยนาท,34.6,23.6,18.5
20,ชลบุรี,37.0,25.5,20.2
21,ระยอง,35.2,24.6,20.5
22,จันทบุรี,36.0,24.6,19.4
23,ตราด,,25.8,21.9
24,ฉะเชิงเทรา,35.8,22.4,18.3
25,ปราจีนบุรี,36.0,24.6,19.8
27,สระแก้ว,35.0,24.0,19.1
30,นครราชสีมา,35.0,22.4,17.1
31,บุรีรัมย์,35.2,22.5,16.9
32,สุรินทร์,35.0,22.8,17.0
33,ศรีสะเกษ,34.5,22.9,18.5
34,อุบลราชธานี,35.3,22.3,17.4
36,ชัยภูมิ,34.4,22.9,18.1
40,ขอนแก่น,35.0,21.7,15.5
41,อุดรธานี,35.0,21.1,15.9
42,เลย,34.7,20.2,14.1
43,หนองคาย,35.5,22.3,16.9
44,มหาสารคาม,35.6,22.7,16.9
45,ร้อยเอ็ด,35.2,22.5,16.9
46,กาฬสินธุ์,34.9,22.5,16.4
47,สกลนคร,34.7,21.5,14.7
48,นครพนม,34.6,21.8,15.2
49,มุกดาหาร,35.0,22.2,17.4
50,เชียงใหม่,34.8,19.3,11.5
51,ลำพูน,34.5,21.9,17.8
52,ลำปาง,36.0,21.2,16.2
53,อุตรดิตถ์,36.0,23.2,17.2
54,แพร่,35.0,21.6,17.7
55,น่าน,35.6,20.2,14.5
56,พะเยา,33.7,20.8,16.1
57,เชียงราย,33.0,20.2,15.1
58,แม่ฮ่องสอน,35.2,22.2,17.0
60,นครสวรรค์,36.1,23.5,17.9
62,กำแพงเพชร,35.0,23.2,19.0
63,ตาก,35.0,20.9,13.9
64,สุโขทัย,36.0,24.1,19.4
65,พิษณุโลก,34.7,23.0,18.1
66,พิจิตร,35.1,23.9,20.1
67,เพชรบูรณ์,37.3,22.5,16.8
70,ราชบุรี,34.8,24.1,19.9
71,กาญจนบุรี,36.2,23.0,17.4
72,สุพรรณบุรี,35.5,24.2,17.5
73,นครปฐม,35.2,23.5,18.0
76,เพชรบุรี,33.4,25.1,18.4
77,ประจวบคีรีขันธ์,34.2,24.8,17.0
80,นครศรีธรรมราช,34.2,24.4,23.2
81,กระบี่,33.1,25.9,23.1
82,พังงา,33.5,24.7,23.3
83,ภูเก็ต,35.8,26.2,23.5
84,สุราษฎร์ธานี,35.3,25.2,22.5
85,ระนอง,33.7,24.9,22.3
86,ชุมพร,34.7,24.2,20.5
90,สงขลา,34.9,25.1,22.4
91,สตูล,34.6,25.4,23.5
92,ตรัง,34.0,25.1,23.5
93,พัทลุง,33.3,24.9,23.8
94,ปัตตานี,33.8,24.7,22.9
95,ยะลา,34.7,24.4,22.8
96,นราธิวาส,33.2,25.0,23.2
