province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,38.4,27.6,24.0
11,สมุทรปราการ,33.8,29.5,25.6
13,ปทุมธานี,38.0,27.1,23.9
14,พระนครศรีอยุธยา,38.9,26.8,22.8
16,ลพบุรี,40.3,26.8,23.0
18,ชัยนาท,39.1,26.7,22.0
20,ชลบุรี,36.5,28.0,23.9
21,ระยอง,35.5,27.8,23.8
22,จันทบุรี,34.8,25.9,22.7
23,ตราด,33.5,26.0,23.3
24,ฉะเชิงเทรา,37.2,25.5,23.3
25,ปราจีนบุรี,37.5,26.6,23.5
27,สระแก้ว,37.3,26.6,23.0
30,นครราชสีมา,38.8,26.1,22.5
31,บุรีรัมย์,37.5,26.4,23.3
32,สุรินทร์,37.5,26.6,21.3
33,ศรีสะเกษ,37.6,26.8,23.2
34,อุบลราชธานี,37.7,26.7,22.7
36,ชัยภูมิ,39.9,26.2,23.5
40,ขอนแก่น,38.8,26.5,23.2
41,อุดรธานี,37.9,26.5,24.1
42,เลย,37.5,25.2,23.5
43,หนองคาย,37.7,26.8,21.5
44,มหาสารคาม,38.5,26.9,24.0
45,ร้อยเอ็ด,38.8,26.8,24.2
46,กาฬสินธุ์,37.9,26.9,23.9
47,สกลนคร,37.2,26.7,23.2
48,นครพนม,37.0,27.2,23.3
49,มุกดาหาร,38.2,27.2,24.0
50,เชียงใหม่,38.7,22.6,16.3
51,ลำพูน,38.8,26.0,24.4
52,ลำปาง,39.7,25.8,23.0
53,อุตรดิตถ์,42.0,26.8,24.0
54,แพร่,41.3,26.6,23.4
55,น่าน,39.9,25.5,21.9
56,พะเยา,37.8,25.7,21.6
57,เชียงราย,37.2,25.7,22.6
58,แม่ฮ่องสอน,39.5,25.7,23.0
60,นครสวรรค์,39.8,26.7,23.7
62,กำแพงเพชร,38.8,26.7,24.8
63,ตาก,39.4,25.0,19.5
64,สุโขทัย,39.9,26.7,23.2
65,พิษณุโลก,39.2,26.7,23.3
66,พิจิตร,39.1,27.1,23.8
67,เพชรบูรณ์,39.8,26.2,22.5
70,ราชบุรี,36.5,26.1,24.1
71,กาญจนบุรี,38.5,26.3,22.0
72,สุพรรณบุรี,39.5,27.1,23.6
73,นครปฐม,38.0,26.6,23.1
76,เพชรบุรี,37.4,27.4,25.5
77,ประจวบคีรีขันธ์,36.1,26.2,22.5
80,นครศรีธรรมราช,35.6,25.0,23.5
81,กระบี่,34.2,25.2,22.8
82,พังงา,33.0,25.0,22.9
83,ภูเก็ต,34.5,25.8,21.7
84,สุราษฎร์ธานี,36.7,25.3,22.8
85,ระนอง,34.5,25.2,23.0
86,ชุมพร,35.2,25.3,24.0
90,สงขลา,35.8,25.4,21.9
91,สตูล,34.7,25.4,23.5
92,ตรัง,34.2,25.1,23.9
93,พัทลุง,34.5,25.2,24.0
94,ปัตตานี,34.9,25.1,23.5
95,ยะลา,35.4,25.0,23.6
96,นราธิวาส,35.3,25.1,
