province_code,province_name,max_temperature,temperature,min_temperature
10,กรุงเทพมหานคร,41.0,29.3,25.1
11,สมุทรปราการ,35.1,30.3,25.1
13,ปทุมธานี,40.8,28.3,24.8
14,พระนครศรีอยุธยา,39.9,27.6,23.0
16,ลพบุรี,41.1,27.7,24.1
18,ชัยนาท,39.7,27.5,23.8
20,ชลบุรี,39.6,29.0,23.6
21,ระยอง,38.5,28.7,24.0
22,จันทบุรี,36.4,26.7,23.2
23,ตราด,35.6,27.1,24.2
24,ฉะเชิงเทรา,38.7,26.4,23.2
25,ปราจีนบุรี,40.5,27.6,24.5
27,สระแก้ว,40.6,27.8,24.2
30,นครราชสีมา,41.6,27.0,22.1
31,บุรีรัมย์,41.4,27.5,23.4
32,สุรินทร์,41.0,27.6,23.4
33,ศรีสะเกษ,41.0,27.5,23.5
34,อุบลราชธานี,41.5,27.1,23.2
36,ชัยภูมิ,40.8,27.6,24.2
40,ขอนแก่น,42.2,27.4,23.0
41,อุดรธานี,44.1,27.9,24.8
42,เลย,42.8,25.9,22.2
43,หนองคาย,43.7,28.1,23.5
44,มหาสารคาม,41.6,28.0,23.4
45,ร้อยเอ็ด,41.1,27.5,24.1
46,กาฬสินธุ์,40.9,27.5,23.9
47,สกลนคร,42.3,27.8,23.5
48,นครพนม,41.2,28.1,23.0
49,มุกดาหาร,41.8,27.8,23.8
50,เชียงใหม่,41.2,22.8,16.0
51,ลำพูน,41.8,26.3,22.2
52,ลำปาง,43.1,26.0,20.2
53,อุตรดิตถ์,43.2,27.2,24.0
54,แพร่,43.0,26.3,23.2
55,น่าน,42.2,24.8,20.6
56,พะเยา,40.9,25.8,22.3
57,เชียงราย,39.6,24.7,21.4
58,แม่ฮ่องสอน,42.9,26.2,21.6
60,นครสวรรค์,41.8,28.0,24.0
62,กำแพงเพชร,42.5,27.5,24.0
63,ตาก,41.2,25.4,19.4
64,สุโขทัย,43.5,28.0,22.0
65,พิษณุโลก,41.0,27.2,24.0
66,พิจิตร,41.5,27.9,24.5
67,เพชรบูรณ์,43.4,27.3,23.7
70,ราชบุรี,40.7,27.2,25.0
71,กาญจนบุรี,41.3,27.4,22.1
72,สุพรรณบุรี,41.8,28.5,23.8
73,นครปฐม,41.1,27.7,24.5
76,เพชรบุรี,38.0,28.4,25.0
77,ประจวบคีรีขันธ์,40.4,27.5,23.3
80,นครศรีธรรมราช,37.5,25.5,23.5
81,กระบี่,37.1,26.8,23.6
82,พังงา,34.9,26.1,23.5
83,ภูเก็ต,38.0,28.0,23.6
84,สุราษฎร์ธานี,39.5,26.1,22.4
85,ระนอง,37.1,26.9,24.5
86,ชุมพร,38.5,26.7,23.0
90,สงขลา,37.5,26.3,22.8
91,สตูล,36.5,26.2,24.3
92,ตรัง,37.1,26.0,24.2
93,พัทลุง,36.7,26.4,24.5
94,ปัตตานี,36.9,25.8,24.0
95,ยะลา,37.6,25.6,23.3
96,นราธิวาส,36.6,25.9,24.2
